NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCC3	570	1.057949423789978	-0.024605103	No	
row_1	MT-ND6	2138	0.5236268043518066	-0.13127375	No	
row_2	NDUFS2	2369	0.47393059730529785	-0.14043236	No	
row_3	CYCS	2663	0.42472365498542786	-0.15502925	No	
row_4	NDUFS8	2750	0.4122324287891388	-0.15460773	No	
row_5	SDHC	2835	0.39765363931655884	-0.1542777	No	
row_6	NDUFV3	3023	0.36937007308006287	-0.16198516	No	
row_7	NDUFAF1	3241	0.3402128219604492	-0.17237596	No	
row_8	SDHAF2	3373	0.32255247235298157	-0.17673132	No	
row_9	MT-ND4L	4690	0.16801615059375763	-0.27076077	No	
row_10	CYC1	5110	0.12897096574306488	-0.29946357	No	
row_11	COX8A	6084	0.046129487454891205	-0.37026334	No	
row_12	NDUFS3	6220	0.0346207469701767	-0.3796247	No	
row_13	NDUFS6	6767	-0.0019736140966415405	-0.4197454	No	
row_14	NDUFS7	6787	-0.0033299915958195925	-0.42108816	No	
row_15	COX5A	6807	-0.004940347280353308	-0.42240456	No	
row_16	MT-ND2	7070	-0.027573974803090096	-0.44122088	No	
row_17	MT-CO1	7143	-0.033348966389894485	-0.44597003	No	
row_18	NDUFC2	7664	-0.0735655128955841	-0.48300707	No	
row_19	MT-CO3	8030	-0.10346442461013794	-0.5081561	No	
row_20	COX15	8071	-0.10698800534009933	-0.5093469	No	
row_21	MT-CO2	8254	-0.12321575731039047	-0.5207149	No	
row_22	NDUFV1	8696	-0.1658245027065277	-0.5504325	No	
row_23	AFG1L	8697	-0.16588397324085236	-0.54771787	No	
row_24	NDUFA2	8755	-0.170172318816185	-0.5491249	No	
row_25	MT-ND5	8764	-0.17090903222560883	-0.54691637	No	
row_26	NDUFB3	9994	-0.3175901174545288	-0.6321001	No	
row_27	UQCRC1	10171	-0.3396632671356201	-0.63948476	No	
row_28	NDUFA10	10406	-0.37281620502471924	-0.6505922	No	
row_29	NDUFB9	10559	-0.39579570293426514	-0.6552933	No	
row_30	COX4I1	10589	-0.4016340970993042	-0.65085346	No	
row_31	MT-ND4	10603	-0.4041005074977875	-0.64519656	No	
row_32	NDUFS1	10657	-0.41281017661094666	-0.64233875	No	
row_33	UQCRHL	10679	-0.4166224002838135	-0.6370653	No	
row_34	COX7B	10874	-0.4443676769733429	-0.6440602	No	
row_35	MT-ND1	10940	-0.45646122097969055	-0.64137053	No	
row_36	UQCRC2	11105	-0.48982709646224976	-0.64541537	No	
row_37	NDUFA9	11133	-0.49593231081962585	-0.63928527	No	
row_38	NDUFC1	11803	-0.6340871453285217	-0.67810714	Yes	
row_39	UQCRQ	11945	-0.6713986992835999	-0.6774892	Yes	
row_40	NDUFV2	12044	-0.7014801502227783	-0.67321676	Yes	
row_41	NDUFB7	12218	-0.7513547539710999	-0.6736437	Yes	
row_42	MT-CYB	12340	-0.7937132716178894	-0.66955334	Yes	
row_43	NDUFA8	12415	-0.8235515356063843	-0.6615183	Yes	
row_44	SDHA	12480	-0.846764862537384	-0.65236795	Yes	
row_45	COX6A1	12493	-0.8499431014060974	-0.63934153	Yes	
row_46	COX7A2	12547	-0.868537425994873	-0.629026	Yes	
row_47	SLC25A51	12627	-0.9006447196006775	-0.62009704	Yes	
row_48	SDHB	12696	-0.9279624223709106	-0.60991216	Yes	
row_49	NDUFAB1	12793	-0.9753090143203735	-0.6010115	Yes	
row_50	NDUFA3	12840	-0.9987074732780457	-0.588051	Yes	
row_51	NDUFB5	12958	-1.0686440467834473	-0.57916737	Yes	
row_52	SDHD	12962	-1.0704628229141235	-0.5618704	Yes	
row_53	UQCR11	13080	-1.1519628763198853	-0.5516233	Yes	
row_54	COX6B1	13097	-1.1648272275924683	-0.53373814	Yes	
row_55	NDUFB4	13103	-1.1697803735733032	-0.5149629	Yes	
row_56	NDUFS4	13134	-1.1919666528701782	-0.4976632	Yes	
row_57	UQCRH	13137	-1.1930246353149414	-0.478287	Yes	
row_58	NDUFA5	13146	-1.201181173324585	-0.4592186	Yes	
row_59	NDUFA6	13155	-1.2107065916061401	-0.43999428	Yes	
row_60	NDUFB1	13202	-1.25712251663208	-0.42280495	Yes	
row_61	NDUFB8	13210	-1.2610019445419312	-0.40268403	Yes	
row_62	NDUFB6	13274	-1.344009518623352	-0.38532302	Yes	
row_63	NDUFA7	13279	-1.3461875915527344	-0.36358747	Yes	
row_64	NDUFS5	13282	-1.3494203090667725	-0.34165195	Yes	
row_65	UQCRB	13379	-1.476861596107483	-0.32454368	Yes	
row_66	NDUFB2	13381	-1.4792155027389526	-0.3004106	Yes	
row_67	COX7C	13579	-1.9692124128341675	-0.28267282	Yes	
row_68	UQCRFS1	13585	-2.0090081691741943	-0.25016406	Yes	
row_69	UQCR10	13595	-2.0733797550201416	-0.21689609	Yes	
row_70	COX5B	13601	-2.105435371398926	-0.18280937	Yes	
row_71	NDUFA1	13607	-2.1444315910339355	-0.14808449	Yes	
row_72	NDUFA4	13612	-2.1684153079986572	-0.1128936	Yes	
row_73	MT-ND3	13616	-2.1806890964508057	-0.0774283	Yes	
row_74	NDUFB10	13630	-2.326066493988037	-0.040319383	Yes	
row_75	COX6C	13656	-2.6525847911834717	0.001250366	Yes	
