NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MX1	6	2.902200222015381	0.20129868	Yes	
row_1	CXCL10	9	2.8531296253204346	0.39947924	Yes	
row_2	IFIT1	24	2.4777567386627197	0.5706882	Yes	
row_3	DDX58	85	1.772188425064087	0.68948334	Yes	
row_4	CLPB	524	1.0885884761810303	0.73308194	Yes	
row_5	MARCHF2	1319	0.7300084233283997	0.7256877	No	
row_6	OAS1	2572	0.4399574100971222	0.6645954	No	
row_7	ATAD3A	3474	0.3089047968387604	0.62009454	No	
row_8	SENP7	4155	0.22809039056301117	0.5861583	No	
row_9	NLRP1	6986	-0.020302817225456238	0.38034984	No	
row_10	NMB	7060	-0.026795463636517525	0.3768672	No	
row_11	RNF135	7087	-0.02892312966287136	0.37697393	No	
row_12	CARD8	7768	-0.0817561149597168	0.33286566	No	
row_13	AKAP1	8253	-0.12316428869962692	0.30598736	No	
row_14	PHB2	9050	-0.20260290801525116	0.26178557	No	
row_15	ZDHHC1	10052	-0.3251698315143585	0.21109307	No	
row_16	DHX15	12302	-0.776447594165802	0.10038811	No	
