NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT-ATP8	2003	0.553031861782074	-0.13787359	No	
row_1	MT-ND6	2138	0.5236268043518066	-0.13880175	No	
row_2	NDUFS2	2369	0.47393059730529785	-0.14763695	No	
row_3	NDUFS8	2750	0.4122324287891388	-0.16855495	No	
row_4	SDHC	2835	0.39765363931655884	-0.16795355	No	
row_5	NDUFV3	3023	0.36937007308006287	-0.17540896	No	
row_6	PRKAG2	4114	0.23258012533187866	-0.25160304	No	
row_7	ALDOA	4306	0.21157169342041016	-0.26204258	No	
row_8	MT-ND4L	4690	0.16801615059375763	-0.2873443	No	
row_9	TGFB1	5104	0.1293860524892807	-0.3155108	No	
row_10	VPS9D1	5693	0.07485628873109818	-0.35747638	No	
row_11	NDUFS3	6220	0.0346207469701767	-0.39556837	No	
row_12	NDUFS6	6767	-0.0019736140966415405	-0.4356877	No	
row_13	NDUFS7	6787	-0.0033299915958195925	-0.4370282	No	
row_14	MT-ND2	7070	-0.027573974803090096	-0.4572965	No	
row_15	NDUFC2	7664	-0.0735655128955841	-0.49965176	No	
row_16	ATP5PF	8345	-0.13020583987236023	-0.5474395	No	
row_17	NDUFV1	8696	-0.1658245027065277	-0.5703518	No	
row_18	NDUFA2	8755	-0.170172318816185	-0.57171625	No	
row_19	MT-ND5	8764	-0.17090903222560883	-0.5693911	No	
row_20	NUDT2	9039	-0.20195573568344116	-0.5860984	No	
row_21	STOML2	9250	-0.2231919765472412	-0.5977371	No	
row_22	ATP5F1A	9922	-0.30851492285728455	-0.64182335	No	
row_23	MT-ATP6	9967	-0.31430596113204956	-0.6397012	No	
row_24	NDUFB3	9994	-0.3175901174545288	-0.6361993	No	
row_25	NDUFA10	10406	-0.37281620502471924	-0.6600689	No	
row_26	SLC25A13	10533	-0.39058902859687805	-0.6626767	Yes	
row_27	NDUFB9	10559	-0.39579570293426514	-0.6577681	Yes	
row_28	MT-ND4	10603	-0.4041005074977875	-0.65404165	Yes	
row_29	NDUFS1	10657	-0.41281017661094666	-0.65090215	Yes	
row_30	ATP5F1D	10717	-0.42090845108032227	-0.6480658	Yes	
row_31	ATP5MGL	10766	-0.42845597863197327	-0.6442919	Yes	
row_32	MT-ND1	10940	-0.45646122097969055	-0.6492331	Yes	
row_33	NDUFA11	11042	-0.4788883328437805	-0.6484971	Yes	
row_34	NDUFA9	11133	-0.49593231081962585	-0.6466616	Yes	
row_35	ATP5MF	11188	-0.5062839984893799	-0.64200217	Yes	
row_36	ATP5F1E	11337	-0.5375655889511108	-0.6437223	Yes	
row_37	ATP5F1B	11349	-0.5406927466392517	-0.6353141	Yes	
row_38	NDUFC1	11803	-0.6340871453285217	-0.6578186	Yes	
row_39	ATP5MC2	11898	-0.658547043800354	-0.65350515	Yes	
row_40	NDUFV2	12044	-0.7014801502227783	-0.6522104	Yes	
row_41	NDUFB11	12153	-0.735194742679596	-0.64761996	Yes	
row_42	NDUFB7	12218	-0.7513547539710999	-0.63951826	Yes	
row_43	ATP5PD	12241	-0.7573438882827759	-0.62822574	Yes	
row_44	NDUFA8	12415	-0.8235515356063843	-0.6269092	Yes	
row_45	SDHA	12480	-0.846764862537384	-0.61718106	Yes	
row_46	AK9	12654	-0.9101274609565735	-0.61438864	Yes	
row_47	SDHB	12696	-0.9279624223709106	-0.6015849	Yes	
row_48	NDUFAB1	12793	-0.9753090143203735	-0.5920187	Yes	
row_49	ATP5ME	12821	-0.9882935881614685	-0.57715696	Yes	
row_50	NDUFA3	12840	-0.9987074732780457	-0.5614558	Yes	
row_51	ATP5PB	12867	-1.0146276950836182	-0.5460716	Yes	
row_52	NDUFB5	12958	-1.0686440467834473	-0.5344731	Yes	
row_53	SDHD	12962	-1.0704628229141235	-0.51644564	Yes	
row_54	NDUFB4	13103	-1.1697803735733032	-0.5068001	Yes	
row_55	NDUFS4	13134	-1.1919666528701782	-0.48868698	Yes	
row_56	NDUFA5	13146	-1.201181173324585	-0.46901947	Yes	
row_57	NDUFA6	13155	-1.2107065916061401	-0.44896898	Yes	
row_58	NDUFB1	13202	-1.25712251663208	-0.43092176	Yes	
row_59	NDUFB8	13210	-1.2610019445419312	-0.40994036	Yes	
row_60	ATP5PO	13239	-1.2946336269378662	-0.38992995	Yes	
row_61	NDUFA13	13262	-1.3259402513504028	-0.36894464	Yes	
row_62	NDUFB6	13274	-1.344009518623352	-0.34684238	Yes	
row_63	NDUFA7	13279	-1.3461875915527344	-0.32418817	Yes	
row_64	NDUFS5	13282	-1.3494203090667725	-0.30133182	Yes	
row_65	NDUFA12	13355	-1.4363946914672852	-0.2821406	Yes	
row_66	NDUFB2	13381	-1.4792155027389526	-0.25876305	Yes	
row_67	ATP5MC1	13388	-1.4938687086105347	-0.23373842	Yes	
row_68	ATP5MJ	13396	-1.5068279504776	-0.20856643	Yes	
row_69	ATP5MG	13438	-1.556767463684082	-0.1850435	Yes	
row_70	ATP5MK	13453	-1.5935380458831787	-0.15890814	Yes	
row_71	ATP5MC3	13485	-1.6473159790039062	-0.13310623	Yes	
row_72	ATP5F1C	13573	-1.9508099555969238	-0.10624893	Yes	
row_73	NDUFA1	13607	-2.1444315910339355	-0.07211981	Yes	
row_74	MT-ND3	13616	-2.1806890964508057	-0.035534106	Yes	
row_75	NDUFB10	13630	-2.326066493988037	0.0031621368	Yes	
