NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL10A	132	1.5730088949203491	0.0077385684	No	
row_1	EIF4H	351	1.265437126159668	0.0057172105	No	
row_2	RPL39L	840	0.9134436249732971	-0.020128876	No	
row_3	RPL12	1605	0.6437645554542542	-0.0693278	No	
row_4	EIF4A1	1652	0.6329436302185059	-0.06568928	No	
row_5	RPS8	1843	0.5904987454414368	-0.07314331	No	
row_6	EIF2S1	2093	0.533185601234436	-0.085585706	No	
row_7	RPL27	2236	0.5004439949989319	-0.0904998	No	
row_8	RPS25	2773	0.4084470570087433	-0.12549624	No	
row_9	RPL8	2804	0.4030335247516632	-0.12323166	No	
row_10	EIF5B	2836	0.3974829316139221	-0.121102504	No	
row_11	RPS11	2900	0.3868279457092285	-0.121451944	No	
row_12	RPL23	3323	0.3290828466415405	-0.1489217	No	
row_13	EIF2S3	3575	0.2951549291610718	-0.16415589	No	
row_14	EIF4E	3937	0.24964366853237152	-0.18800895	No	
row_15	RPL5	4130	0.2303551286458969	-0.19961132	No	
row_16	RPL4	4202	0.22397051751613617	-0.20236	No	
row_17	EIF3D	4359	0.20511750876903534	-0.21158747	No	
row_18	EIF3B	4490	0.19093307852745056	-0.21905483	No	
row_19	EIF1AX	4799	0.15592972934246063	-0.24003984	No	
row_20	UBA52	4818	0.1540825515985489	-0.23965576	No	
row_21	RPS24	5792	0.06808315217494965	-0.3106652	No	
row_22	EIF2S2	6085	0.04608235880732536	-0.33169034	No	
row_23	RPL38	6287	0.028428571298718452	-0.34619972	No	
row_24	EIF2B5	6304	0.02670331299304962	-0.3470832	No	
row_25	RPS6	6372	0.019158894196152687	-0.3518121	No	
row_26	EIF4G1	6461	0.01277513150125742	-0.35816082	No	
row_27	EIF3A	7222	-0.03976637125015259	-0.41377452	No	
row_28	EIF3M	7380	-0.05131220445036888	-0.42478436	No	
row_29	EIF4B	8002	-0.10153845697641373	-0.4694596	No	
row_30	RPS16	8012	-0.10227445513010025	-0.46898723	No	
row_31	RPS10	8174	-0.1160307452082634	-0.47957316	No	
row_32	RPL35A	8889	-0.1863023191690445	-0.53016615	No	
row_33	RPL41	9062	-0.20348773896694183	-0.5405919	No	
row_34	RPS3	9069	-0.2040742039680481	-0.53876734	No	
row_35	EIF2B3	9278	-0.22625744342803955	-0.5515954	No	
row_36	EIF5	9649	-0.2712363302707672	-0.57587236	No	
row_37	RPL35	9784	-0.290912926197052	-0.58252406	No	
row_38	EIF3I	9874	-0.30350545048713684	-0.58571684	No	
row_39	RPL27A	9878	-0.3038453161716461	-0.5825627	No	
row_40	RPL13	9968	-0.31434160470962524	-0.58563507	No	
row_41	EIF4EBP1	10178	-0.3406415283679962	-0.59726614	No	
row_42	RPL34	10212	-0.34599635004997253	-0.5958565	No	
row_43	RPL13A	10327	-0.36185699701309204	-0.60024494	No	
row_44	EIF3J	10339	-0.3633514642715454	-0.5970198	No	
row_45	RPL22	10401	-0.3721303343772888	-0.597385	No	
row_46	EIF3C	10426	-0.3753826916217804	-0.59498507	No	
row_47	RPL24	10463	-0.3802189230918884	-0.59341645	No	
row_48	RPL22L1	10476	-0.38251498341560364	-0.5900522	No	
row_49	EIF3F	10583	-0.4003377854824066	-0.5934231	No	
row_50	RPS27	10586	-0.40079015493392944	-0.5891183	No	
row_51	RPL26L1	10671	-0.41555848717689514	-0.59069747	No	
row_52	RPS2	10678	-0.4165341556072235	-0.58651274	No	
row_53	RPL7A	10712	-0.4204258918762207	-0.5842762	No	
row_54	RPS7	11336	-0.5374475121498108	-0.62425643	Yes	
row_55	RPS21	11338	-0.5378749966621399	-0.618355	Yes	
row_56	RPL36AL	11460	-0.5597624778747559	-0.6210612	Yes	
row_57	EIF4A2	11518	-0.5739954710006714	-0.61888885	Yes	
row_58	RPS23	11565	-0.5834056735038757	-0.6158007	Yes	
row_59	RPS20	11729	-0.6179785132408142	-0.620958	Yes	
row_60	EIF2B1	11747	-0.6228574514389038	-0.61529255	Yes	
row_61	RPL10	11766	-0.6280835866928101	-0.6096428	Yes	
