NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL10A	132	1.5730088949203491	0.012479535	No	
row_1	RPL12	1605	0.6437645554542542	-0.08673759	No	
row_2	RPS8	1843	0.5904987454414368	-0.09584389	No	
row_3	RPL27	2236	0.5004439949989319	-0.1176244	No	
row_4	MRPL19	2393	0.46980032324790955	-0.12247406	No	
row_5	RPS25	2773	0.4084470570087433	-0.14459597	No	
row_6	RPL8	2804	0.4030335247516632	-0.14111738	No	
row_7	RPS11	2900	0.3868279457092285	-0.14264962	No	
row_8	RPL23	3323	0.3290828466415405	-0.16905479	No	
row_9	RPS6KB1	3329	0.32827427983283997	-0.16479154	No	
row_10	RPL5	4130	0.2303551286458969	-0.22039996	No	
row_11	RPL4	4202	0.22397051751613617	-0.22246398	No	
row_12	RPS24	5792	0.06808315217494965	-0.3384105	No	
row_13	RPS6KA3	6191	0.037145908921957016	-0.3671684	No	
row_14	RPL38	6287	0.028428571298718452	-0.37375674	No	
row_15	RPS6	6372	0.019158894196152687	-0.37966657	No	
row_16	RPL9	6932	-0.015853792428970337	-0.42057005	No	
row_17	RPS16	8012	-0.10227445513010025	-0.49851215	No	
row_18	RPS10	8174	-0.1160307452082634	-0.50872046	No	
row_19	RPL35A	8889	-0.1863023191690445	-0.5586231	No	
row_20	RPL41	9062	-0.20348773896694183	-0.5684069	No	
row_21	RPS3	9069	-0.2040742039680481	-0.56596935	No	
row_22	RPL35	9784	-0.290912926197052	-0.6143962	No	
row_23	RPL27A	9878	-0.3038453161716461	-0.616952	No	
row_24	RPL13	9968	-0.31434160470962524	-0.6190654	No	
row_25	RPL34	10212	-0.34599635004997253	-0.6320625	No	
row_26	RPL13A	10327	-0.36185699701309204	-0.63534486	No	
row_27	RPL22	10401	-0.3721303343772888	-0.63546586	No	
row_28	RPS27	10586	-0.40079015493392944	-0.6433491	No	
row_29	RPS2	10678	-0.4165341556072235	-0.644168	No	
row_30	RPL7A	10712	-0.4204258918762207	-0.64066476	No	
row_31	RPS7	11336	-0.5374475121498108	-0.67891854	No	
row_32	RPS21	11338	-0.5378749966621399	-0.67140406	No	
row_33	RPS23	11565	-0.5834056735038757	-0.67980117	Yes	
row_34	RPS6KB2	11657	-0.6033267974853516	-0.6779849	Yes	
row_35	RPS20	11729	-0.6179785132408142	-0.67449045	Yes	
row_36	RPL10	11766	-0.6280835866928101	-0.6682784	Yes	
row_37	RPL6	11782	-0.6300248503684998	-0.66049397	Yes	
row_38	RPS12	11844	-0.6432996392250061	-0.65590656	Yes	
row_39	RPSA	11845	-0.6432996988296509	-0.6468313	Yes	
row_40	RPL18A	11931	-0.6672465801239014	-0.6436718	Yes	
row_41	RPL32	12127	-0.7255398631095886	-0.647783	Yes	
row_42	RPLP2	12305	-0.7783733010292053	-0.6498245	Yes	
row_43	RPS6KA6	12311	-0.7803285717964172	-0.6391839	Yes	
row_44	RPL3	12333	-0.7919432520866394	-0.62955666	Yes	
row_45	RPL30	12378	-0.8098337054252625	-0.6213692	Yes	
row_46	RPL23A	12382	-0.8110140562057495	-0.61014855	Yes	
row_47	RPS28	12386	-0.8128687143325806	-0.59890175	Yes	
row_48	RPL28	12612	-0.8952311277389526	-0.6028262	Yes	
row_49	RPL37A	12784	-0.9719826579093933	-0.60169494	Yes	
row_50	RPS14	12858	-1.0081791877746582	-0.59284294	Yes	
row_51	RPL15	12868	-1.0150070190429688	-0.5791859	Yes	
row_52	RPL36A	12878	-1.0224177837371826	-0.5654244	Yes	
row_53	RPS6KA1	12894	-1.0298482179641724	-0.55199945	Yes	
row_54	RPS4Y1	12918	-1.0426675081253052	-0.5389823	Yes	
row_55	RPS17	12960	-1.0693308115005493	-0.5269132	Yes	
row_56	RPL29	13022	-1.1155116558074951	-0.5156641	Yes	
row_57	RPLP0	13050	-1.1358399391174316	-0.5016268	Yes	
row_58	RPS18	13126	-1.1878582239151	-0.4903871	Yes	
row_59	RPS5	13139	-1.195056438446045	-0.4744108	Yes	
row_60	RPS26	13191	-1.24735689163208	-0.46056598	Yes	
row_61	RPS3A	13198	-1.2553023099899292	-0.4432983	Yes	
row_62	RPL14	13223	-1.2730261087417603	-0.42710492	Yes	
row_63	RPS29	13255	-1.3176645040512085	-0.41079682	Yes	
row_64	RPS6KA2	13277	-1.3456707000732422	-0.39335787	Yes	
row_65	RPS13	13283	-1.350272297859192	-0.37467685	Yes	
row_66	RPL7	13306	-1.381505012512207	-0.35680595	Yes	
row_67	RPS15	13324	-1.4007689952850342	-0.33829543	Yes	
row_68	RPL36	13380	-1.4785605669021606	-0.3214832	Yes	
row_69	RPS27A	13414	-1.524519443511963	-0.30240405	Yes	
row_70	RPS4X	13426	-1.5409870147705078	-0.28147396	Yes	
row_71	RPL39	13459	-1.611419677734375	-0.2610953	Yes	
row_72	RPL37	13460	-1.6149767637252808	-0.23831208	Yes	
row_73	RPL19	13462	-1.6178185939788818	-0.21556237	Yes	
row_74	RPS19	13469	-1.628760576248169	-0.19302617	Yes	
row_75	RPL26	13514	-1.7385029792785645	-0.17173755	Yes	
row_76	RPS9	13518	-1.7493090629577637	-0.14728	Yes	
row_77	RPLP1	13557	-1.8868073225021362	-0.12345773	Yes	
row_78	RPL21	13586	-2.0165579319000244	-0.09706929	Yes	
row_79	RPL18	13613	-2.170661449432373	-0.06835971	Yes	
row_80	RPL31	13641	-2.445829153060913	-0.035841785	Yes	
row_81	RPL11	13658	-2.7023019790649414	0.0011036164	Yes	
