NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MLKL	0	3.469677448272705	0.03849176	Yes	
row_1	IFIT5	3	3.2034339904785156	0.0738821	Yes	
row_2	MX1	6	2.902200222015381	0.105930634	Yes	
row_3	CXCL10	9	2.8531296253204346	0.13743478	Yes	
row_4	EIF2AK2	15	2.6268818378448486	0.16620733	Yes	
row_5	IFI44L	17	2.583742141723633	0.19479686	Yes	
row_6	IFIT3	22	2.4951834678649902	0.22218226	Yes	
row_7	IFIT1	24	2.4777567386627197	0.249596	Yes	
row_8	RSAD2	35	2.173553705215454	0.27297	Yes	
row_9	IFITM1	40	2.07757830619812	0.2957226	Yes	
row_10	MX2	45	2.011532783508301	0.3177425	Yes	
row_11	IFIT2	52	1.9159952402114868	0.33855477	Yes	
row_12	ISG15	81	1.7975640296936035	0.35642764	Yes	
row_13	DDX58	85	1.772188425064087	0.3758662	Yes	
row_14	OAS2	163	1.514277696609497	0.38697585	Yes	
row_15	IFI6	260	1.359354853630066	0.39496297	Yes	
row_16	PDE12	330	1.2884306907653809	0.40415823	Yes	
row_17	IFITM2	379	1.234442949295044	0.41430622	Yes	
row_18	SKP2	404	1.2172142267227173	0.4260364	Yes	
row_19	SAMHD1	472	1.128713607788086	0.43360758	Yes	
row_20	IFI27	480	1.1258652210235596	0.44558042	Yes	
row_21	CLPB	524	1.0885884761810303	0.45447978	Yes	
row_22	NT5C3A	529	1.08330500125885	0.46620214	Yes	
row_23	IRF7	574	1.050553321838379	0.47460565	Yes	
row_24	ISG20	613	1.0258421897888184	0.48317838	Yes	
row_25	SLFN13	663	1.0017913579940796	0.4906715	Yes	
row_26	APOBEC3B	686	0.9899182319641113	0.50002784	Yes	
row_27	IFIH1	772	0.9442739486694336	0.5042229	Yes	
row_28	RNASEL	816	0.9205294847488403	0.5112579	Yes	
row_29	PLSCR1	856	0.9054085612297058	0.51842064	Yes	
row_30	IFNLR1	893	0.8915695548057556	0.5256515	Yes	
row_31	RNF185	1106	0.8032166957855225	0.51889795	Yes	
row_32	SERINC5	1142	0.7903397679328918	0.5250797	Yes	
row_33	BST2	1234	0.757101833820343	0.52675503	Yes	
row_34	DDIT4	1277	0.74345463514328	0.5318994	Yes	
row_35	MARCHF2	1319	0.7300084233283997	0.5369685	Yes	
row_36	TRAF3	1368	0.7150319814682007	0.5413543	Yes	
row_37	ABCC9	1496	0.6743144989013672	0.53945124	Yes	
row_38	OAS3	1524	0.665909469127655	0.5448437	Yes	
row_39	PQBP1	1667	0.6293097138404846	0.541333	No	
row_40	BPIFA1	1901	0.5748295187950134	0.5304941	No	
row_41	APOBEC3C	1972	0.5584008693695068	0.53151673	No	
row_42	G3BP1	2068	0.5397889614105225	0.53048563	No	
row_43	APOBEC3D	2175	0.5139032602310181	0.52835464	No	
row_44	APOBEC3A	2277	0.4916556775569916	0.52634627	No	
row_45	IL6	2317	0.48277395963668823	0.5288204	No	
row_46	TRIM5	2339	0.4780920147895813	0.5325726	No	
row_47	MAVS	2390	0.4700865149497986	0.53409326	No	
row_48	IFI16	2514	0.4519557058811188	0.5300189	No	
row_49	APOBEC3F	2571	0.44004738330841064	0.530763	No	
row_50	OAS1	2572	0.4399574100971222	0.53564376	No	
row_51	STAT2	2719	0.4165981113910675	0.5294777	No	
row_52	TRIM13	2743	0.41292452812194824	0.5323592	No	
row_53	TRIM25	2795	0.40463829040527344	0.53307986	No	
row_54	NLRC5	2832	0.39841416478157043	0.5348398	No	
row_55	STAT1	3058	0.3656936287879944	0.52227193	No	
row_56	MOV10	3151	0.3519415855407715	0.5193786	No	
