NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NBN	18	2.5745625495910645	0.08525985	Yes	
row_1	ATR	107	1.683885931968689	0.13542794	Yes	
row_2	RAD50	117	1.6327543258666992	0.18967596	Yes	
row_3	POLE	245	1.3781719207763672	0.22670002	Yes	
row_4	RFWD3	319	1.2967686653137207	0.26495072	Yes	
row_5	SAMHD1	472	1.128713607788086	0.29175037	Yes	
row_6	SMARCAL1	507	1.1007355451583862	0.3262716	Yes	
row_7	MCM9	609	1.0293328762054443	0.35347307	Yes	
row_8	RAD51	838	0.9138126969337463	0.36746648	Yes	
row_9	POLD1	978	0.8546225428581238	0.38600293	Yes	
row_10	TONSL	1158	0.786510169506073	0.39931238	Yes	
row_11	FANCM	1412	0.700103223323822	0.40428358	Yes	
row_12	THOC1	1443	0.6916611194610596	0.4253415	Yes	
row_13	MRE11	1542	0.6617169976234436	0.44040045	Yes	
row_14	CENPX	1607	0.6434059143066406	0.45733958	Yes	
row_15	BRCA1	1822	0.5951451659202576	0.4616441	Yes	
row_16	ALYREF	1831	0.5934295058250427	0.48101357	Yes	
row_17	BRCA2	1897	0.5753301978111267	0.49558994	Yes	
row_18	BARD1	1948	0.5627413392066956	0.5108441	Yes	
row_19	BOD1L1	2034	0.5466001033782959	0.5229861	Yes	
row_20	GEN1	2113	0.5287838578224182	0.5350428	Yes	
row_21	CENPS	2177	0.5137091875076294	0.5476937	Yes	
row_22	ETAA1	2184	0.512778639793396	0.5644977	Yes	
row_23	NUCKS1	2319	0.4819091558456421	0.57086706	Yes	
row_24	FAM111A	2755	0.411513090133667	0.5527724	No	
row_25	DONSON	3012	0.37033408880233765	0.54643345	No	
row_26	OOEP	3065	0.3642958402633667	0.55486715	No	
row_27	MMS22L	3242	0.3401852250099182	0.55338717	No	
row_28	TIPIN	3414	0.3168881833553314	0.5514907	No	
row_29	EME2	3464	0.3103804290294647	0.55833155	No	
row_30	TRAIP	3634	0.2872476577758789	0.55558515	No	
row_31	ZNF830	3709	0.27605026960372925	0.55943614	No	
row_32	SETMAR	4755	0.16061142086982727	0.4881233	No	
row_33	MCM8	4816	0.15437325835227966	0.48891017	No	
row_34	BLM	4881	0.14773954451084137	0.4891803	No	
row_35	TIMELESS	4957	0.1428656429052353	0.488479	No	
row_36	PRIMPOL	5681	0.07547816634178162	0.43794137	No	
row_37	EME1	5915	0.05934547632932663	0.42283246	No	
row_38	ATRX	6198	0.03679816797375679	0.40336815	No	
row_39	SLFN11	6468	0.012363443151116371	0.38403645	No	
row_40	MUS81	7612	-0.06927783787250519	0.30245784	No	
row_41	PCNA	8021	-0.10290154814720154	0.27596682	No	
row_42	DNA2	8116	-0.11129457503557205	0.272809	No	
row_43	ZGRF1	8261	-0.12398112565279007	0.26640728	No	
row_44	CDK9	9094	-0.20650619268417358	0.21227433	No	
row_45	RBBP8	9496	-0.25073882937431335	0.19126888	No	
row_46	DDX11	9701	-0.2781647741794586	0.18564764	No	
row_47	ZRANB3	9852	-0.3005933165550232	0.18474485	No	
row_48	WRN	11597	-0.5893503427505493	0.07653621	No	
row_49	RTEL1	12017	-0.6917105913162231	0.069039024	No	
row_50	EXD2	12180	-0.7407459616661072	0.08205741	No	
row_51	FBH1	12397	-0.8168745040893555	0.093671784	No	
