NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCO1	1263	0.7471989989280701	-0.08042563	No	
row_1	NDUFS8	2750	0.4122324287891388	-0.18281749	No	
row_2	SDHC	2835	0.39765363931655884	-0.18237877	No	
row_3	NDUFV3	3023	0.36937007308006287	-0.18998292	No	
row_4	COX8A	6084	0.046129487454891205	-0.41418254	No	
row_5	SLC25A14	6101	0.04466313496232033	-0.41461593	No	
row_6	NDUFS3	6220	0.0346207469701767	-0.42271528	No	
row_7	DMAC2L	6753	-7.412408594973385E-4	-0.46181485	No	
row_8	NDUFS6	6767	-0.0019736140966415405	-0.46273777	No	
row_9	COX5A	6807	-0.004940347280353308	-0.4655228	No	
row_10	NDUFC2	7664	-0.0735655128955841	-0.5272311	No	
row_11	ATP5IF1	8373	-0.13311831653118134	-0.5770681	No	
row_12	NDUFV1	8696	-0.1658245027065277	-0.5979828	No	
row_13	NDUFA2	8755	-0.170172318816185	-0.59941643	No	
row_14	SLC25A6	9136	-0.21054436266422272	-0.6238514	No	
row_15	UCP2	9215	-0.21948088705539703	-0.6259352	No	
row_16	SLC25A5	9359	-0.23514729738235474	-0.63253707	No	
row_17	COX7A2L	9397	-0.23989468812942505	-0.6312671	No	
row_18	NDUFB3	9994	-0.3175901174545288	-0.6698016	No	
row_19	UQCRC1	10171	-0.3396632671356201	-0.6770911	No	
row_20	NDUFA10	10406	-0.37281620502471924	-0.6880933	No	
row_21	NDUFB9	10559	-0.39579570293426514	-0.69268477	Yes	
row_22	COX4I1	10589	-0.4016340970993042	-0.68813634	Yes	
row_23	NDUFS1	10657	-0.41281017661094666	-0.6861957	Yes	
row_24	ATP5F1D	10717	-0.42090845108032227	-0.6835322	Yes	
row_25	COX7B	10874	-0.4443676769733429	-0.6876098	Yes	
row_26	COX17	10966	-0.46219727396965027	-0.6866122	Yes	
row_27	COX11	10970	-0.46310821175575256	-0.6791297	Yes	
row_28	UQCRC2	11105	-0.48982709646224976	-0.68083376	Yes	
row_29	NDUFA9	11133	-0.49593231081962585	-0.6745698	Yes	
row_30	ATP5MF	11188	-0.5062839984893799	-0.67011863	Yes	
row_31	ATP5F1E	11337	-0.5375655889511108	-0.6720579	Yes	
row_32	SURF1	11348	-0.5405700206756592	-0.66380167	Yes	
row_33	NDUFC1	11803	-0.6340871453285217	-0.68663216	Yes	
row_34	ATP5MC2	11898	-0.658547043800354	-0.6825891	Yes	
row_35	UQCRQ	11945	-0.6713986992835999	-0.67480344	Yes	
row_36	NDUFV2	12044	-0.7014801502227783	-0.67034036	Yes	
row_37	NDUFB7	12218	-0.7513547539710999	-0.67056155	Yes	
row_38	SDHA	12480	-0.846764862537384	-0.67566544	Yes	
row_39	COX6A1	12493	-0.8499431014060974	-0.6624104	Yes	
row_40	COX7A2	12547	-0.868537425994873	-0.65186024	Yes	
row_41	SDHB	12696	-0.9279624223709106	-0.6473059	Yes	
row_42	NDUFAB1	12793	-0.9753090143203735	-0.63814116	Yes	
row_43	ATP5ME	12821	-0.9882935881614685	-0.62368757	Yes	
row_44	NDUFA3	12840	-0.9987074732780457	-0.60839915	Yes	
row_45	NDUFB5	12958	-1.0686440467834473	-0.59922576	Yes	
row_46	SLC25A4	12961	-1.069602370262146	-0.58158183	Yes	
row_47	SDHD	12962	-1.0704628229141235	-0.56377655	Yes	
row_48	UQCR11	13080	-1.1519628763198853	-0.5532173	Yes	
row_49	COX6B1	13097	-1.1648272275924683	-0.53501874	Yes	
row_50	NDUFB4	13103	-1.1697803735733032	-0.51592904	Yes	
row_51	NDUFS4	13134	-1.1919666528701782	-0.4983083	Yes	
row_52	UQCRH	13137	-1.1930246353149414	-0.47861144	Yes	
row_53	NDUFA5	13146	-1.201181173324585	-0.45922	Yes	
row_54	NDUFA6	13155	-1.2107065916061401	-0.43967015	Yes	
row_55	NDUFB1	13202	-1.25712251663208	-0.42214194	Yes	
row_56	NDUFB8	13210	-1.2610019445419312	-0.401682	Yes	
row_57	ATP5PO	13239	-1.2946336269378662	-0.38220653	Yes	
row_58	NDUFB6	13274	-1.344009518623352	-0.36235088	Yes	
row_59	NDUFA7	13279	-1.3461875915527344	-0.34025344	Yes	
row_60	NDUFS5	13282	-1.3494203090667725	-0.31795523	Yes	
row_61	NDUFA12	13355	-1.4363946914672852	-0.2993566	Yes	
row_62	UQCRB	13379	-1.476861596107483	-0.27648252	Yes	
row_63	NDUFB2	13381	-1.4792155027389526	-0.25195184	Yes	
row_64	ATP5MG	13438	-1.556767463684082	-0.23017475	Yes	
row_65	ATP5MC3	13485	-1.6473159790039062	-0.20615636	Yes	
row_66	COX7C	13579	-1.9692124128341675	-0.18023914	Yes	
row_67	UQCRFS1	13585	-2.0090081691741943	-0.14719036	Yes	
row_68	UQCR10	13595	-2.0733797550201416	-0.11336494	Yes	
row_69	NDUFA4	13612	-2.1684153079986572	-0.078473404	Yes	
row_70	NDUFB10	13630	-2.326066493988037	-0.04103313	Yes	
row_71	COX6C	13656	-2.6525847911834717	0.0012500623	Yes	
