NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL10A	132	1.5730088949203491	0.009898861	No	
row_1	RPL39L	840	0.9134436249732971	-0.030756587	No	
row_2	RPL12	1605	0.6437645554542542	-0.07897118	No	
row_3	RPS8	1843	0.5904987454414368	-0.08905437	No	
row_4	RPL27	2236	0.5004439949989319	-0.111671075	No	
row_5	RPS25	2773	0.4084470570087433	-0.14603573	No	
row_6	RPL8	2804	0.4030335247516632	-0.14321819	No	
row_7	RPS11	2900	0.3868279457092285	-0.14538778	No	
row_8	RPL23	3323	0.3290828466415405	-0.17234991	No	
row_9	RPL5	4130	0.2303551286458969	-0.2288118	No	
row_10	RPL4	4202	0.22397051751613617	-0.23124552	No	
row_11	UBA52	4818	0.1540825515985489	-0.27459788	No	
row_12	RPS24	5792	0.06808315217494965	-0.34537724	No	
row_13	RPL38	6287	0.028428571298718452	-0.38138905	No	
row_14	RPS6	6372	0.019158894196152687	-0.38733387	No	
row_15	RPS16	8012	-0.10227445513010025	-0.5067151	No	
row_16	RPS10	8174	-0.1160307452082634	-0.51712036	No	
row_17	RPL35A	8889	-0.1863023191690445	-0.5673589	No	
row_18	RPL41	9062	-0.20348773896694183	-0.57748324	No	
row_19	RPS3	9069	-0.2040742039680481	-0.57538	No	
row_20	EEF1B2	9498	-0.25161874294281006	-0.60374993	No	
row_21	EEF2	9514	-0.2535618841648102	-0.6016921	No	
row_22	RPL35	9784	-0.290912926197052	-0.617867	No	
row_23	RPL27A	9878	-0.3038453161716461	-0.6209242	No	
row_24	RPL13	9968	-0.31434160470962524	-0.623556	No	
row_25	RPL34	10212	-0.34599635004997253	-0.63712996	No	
row_26	RPL13A	10327	-0.36185699701309204	-0.6410097	No	
row_27	RPL22	10401	-0.3721303343772888	-0.641743	No	
row_28	RPL24	10463	-0.3802189230918884	-0.64149207	No	
row_29	RPL22L1	10476	-0.38251498341560364	-0.6376053	No	
row_30	RPS27	10586	-0.40079015493392944	-0.64063144	No	
row_31	RPL26L1	10671	-0.41555848717689514	-0.6416329	No	
row_32	RPS2	10678	-0.4165341556072235	-0.6368803	No	
row_33	RPL7A	10712	-0.4204258918762207	-0.6340667	No	
row_34	RPS7	11336	-0.5374475121498108	-0.67322725	Yes	
row_35	RPS21	11338	-0.5378749966621399	-0.66659325	Yes	
row_36	EEF1A1	11400	-0.5506308674812317	-0.66421723	Yes	
row_37	RPL36AL	11460	-0.5597624778747559	-0.6615801	Yes	
row_38	RPS23	11565	-0.5834056735038757	-0.6619608	Yes	
row_39	RPS20	11729	-0.6179785132408142	-0.6662537	Yes	
row_40	RPL10	11766	-0.6280835866928101	-0.66107136	Yes	
row_41	RPL6	11782	-0.6300248503684998	-0.6543189	Yes	
row_42	RPS12	11844	-0.6432996392250061	-0.65078723	Yes	
row_43	RPSA	11845	-0.6432996988296509	-0.642765	Yes	
row_44	RPL18A	11931	-0.6672465801239014	-0.6407015	Yes	
row_45	RPL32	12127	-0.7255398631095886	-0.64600873	Yes	
row_46	RPLP2	12305	-0.7783733010292053	-0.6493321	Yes	
row_47	RPL3	12333	-0.7919432520866394	-0.6414438	Yes	
row_48	RPL30	12378	-0.8098337054252625	-0.6345839	Yes	
row_49	RPL23A	12382	-0.8110140562057495	-0.624691	Yes	
row_50	RPS28	12386	-0.8128687143325806	-0.614775	Yes	
row_51	RPL28	12612	-0.8952311277389526	-0.62017465	Yes	
row_52	RPL17	12705	-0.9333198070526123	-0.61530834	Yes	
row_53	RPL37A	12784	-0.9719826579093933	-0.60892934	Yes	
row_54	RPS14	12858	-1.0081791877746582	-0.6017308	Yes	
row_55	RPL15	12868	-1.0150070190429688	-0.58973575	Yes	
row_56	RPL36A	12878	-1.0224177837371826	-0.5776482	Yes	
row_57	RPS4Y1	12918	-1.0426675081253052	-0.5675167	Yes	
row_58	RPS17	12960	-1.0693308115005493	-0.5571999	Yes	
row_59	RPL29	13022	-1.1155116558074951	-0.5477795	Yes	
row_60	RPLP0	13050	-1.1358399391174316	-0.5356027	Yes	
row_61	RPS18	13126	-1.1878582239151	-0.52631074	Yes	
row_62	RPS5	13139	-1.195056438446045	-0.5122912	Yes	
row_63	RPS26	13191	-1.24735689163208	-0.5004904	Yes	
row_64	RPS3A	13198	-1.2553023099899292	-0.48527792	Yes	
row_65	EEF1D	13214	-1.264591932296753	-0.4706121	Yes	
row_66	RPL14	13223	-1.2730261087417603	-0.45532578	Yes	
row_67	RPS15A	13224	-1.27521812915802	-0.4394232	Yes	
row_68	RPS29	13255	-1.3176645040512085	-0.42519978	Yes	
row_69	RPS13	13283	-1.350272297859192	-0.41034886	Yes	
row_70	RPL7	13306	-1.381505012512207	-0.39474037	Yes	
row_71	RPS15	13324	-1.4007689952850342	-0.3785236	Yes	
row_72	RPL36	13380	-1.4785605669021606	-0.36413413	Yes	
row_73	RPS27A	13414	-1.524519443511963	-0.34755197	Yes	
row_74	RPS4X	13426	-1.5409870147705078	-0.3291449	Yes	
row_75	EEF1A2	13435	-1.5517611503601074	-0.3103826	Yes	
row_76	RPL39	13459	-1.611419677734375	-0.2919806	Yes	
row_77	RPL37	13460	-1.6149767637252808	-0.27184108	Yes	
row_78	RPL19	13462	-1.6178185939788818	-0.2517397	Yes	
row_79	RPS19	13469	-1.628760576248169	-0.23186998	Yes	
row_80	EEF1G	13481	-1.6433284282684326	-0.21218666	Yes	
row_81	FAU	13491	-1.6649757623672485	-0.19208616	Yes	
row_82	RPS27L	13504	-1.720449447631836	-0.17151472	Yes	
row_83	RPL26	13514	-1.7385029792785645	-0.1504973	Yes	
row_84	RPS9	13518	-1.7493090629577637	-0.12890342	Yes	
row_85	RPLP1	13557	-1.8868073225021362	-0.10817144	Yes	
row_86	RPL21	13586	-2.0165579319000244	-0.08508524	Yes	
row_87	RPL18	13613	-2.170661449432373	-0.05993007	Yes	
row_88	RPL31	13641	-2.445829153060913	-0.03141704	Yes	
row_89	RPL11	13658	-2.7023019790649414	0.0011041064	Yes	
