NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL10A	132	1.5730088949203491	0.011089657	No	
row_1	RPL39L	840	0.9134436249732971	-0.028874297	No	
row_2	RPL12	1605	0.6437645554542542	-0.07660154	No	
row_3	RPS8	1843	0.5904987454414368	-0.08623772	No	
row_4	RPL27	2236	0.5004439949989319	-0.10847558	No	
row_5	RPS25	2773	0.4084470570087433	-0.14253104	No	
row_6	RPL8	2804	0.4030335247516632	-0.1394084	No	
row_7	APEH	2874	0.39166998863220215	-0.13930708	No	
row_8	RPS11	2900	0.3868279457092285	-0.13603072	No	
row_9	RPL23	3323	0.3290828466415405	-0.16274373	No	
row_10	RPL5	4130	0.2303551286458969	-0.21903123	No	
row_11	RPL4	4202	0.22397051751613617	-0.2212954	No	
row_12	UBA52	4818	0.1540825515985489	-0.26453114	No	
row_13	GSPT2	5230	0.11581003665924072	-0.29325542	No	
row_14	RPS24	5792	0.06808315217494965	-0.33365345	No	
row_15	TRMT112	6192	0.03713727742433548	-0.362535	No	
row_16	RPL38	6287	0.028428571298718452	-0.36907887	No	
row_17	RPS6	6372	0.019158894196152687	-0.3750092	No	
row_18	ETF1	7464	-0.05772397667169571	-0.45456073	No	
row_19	GSPT1	7813	-0.08515467494726181	-0.47905272	No	
row_20	RPS16	8012	-0.10227445513010025	-0.49227586	No	
row_21	RPS10	8174	-0.1160307452082634	-0.5025932	No	
row_22	RPL35A	8889	-0.1863023191690445	-0.55269074	No	
row_23	RPL41	9062	-0.20348773896694183	-0.5626611	No	
row_24	RPS3	9069	-0.2040742039680481	-0.5604034	No	
row_25	N6AMT1	9385	-0.23871709406375885	-0.5804348	No	
row_26	RPL35	9784	-0.290912926197052	-0.6058859	No	
row_27	RPL27A	9878	-0.3038453161716461	-0.6087131	No	
row_28	RPL13	9968	-0.31434160470962524	-0.611107	No	
row_29	RPL34	10212	-0.34599635004997253	-0.62441903	No	
row_30	RPL13A	10327	-0.36185699701309204	-0.62802476	No	
row_31	RPL22	10401	-0.3721303343772888	-0.6284764	No	
row_32	RPL24	10463	-0.3802189230918884	-0.6279376	No	
row_33	RPL22L1	10476	-0.38251498341560364	-0.6237613	No	
row_34	RPS27	10586	-0.40079015493392944	-0.626484	No	
row_35	RPL26L1	10671	-0.41555848717689514	-0.627171	No	
row_36	RPS2	10678	-0.4165341556072235	-0.6221029	No	
row_37	RPL7A	10712	-0.4204258918762207	-0.6189711	No	
row_38	RPS7	11336	-0.5374475121498108	-0.6577248	Yes	
row_39	RPS21	11338	-0.5378749966621399	-0.65068364	Yes	
row_40	RPL36AL	11460	-0.5597624778747559	-0.65218693	Yes	
row_41	RPS23	11565	-0.5834056735038757	-0.652126	Yes	
row_42	RPS20	11729	-0.6179785132408142	-0.65595114	Yes	
row_43	RPL10	11766	-0.6280835866928101	-0.6502933	Yes	
row_44	RPL6	11782	-0.6300248503684998	-0.6430639	Yes	
row_45	RPS12	11844	-0.6432996392250061	-0.63904524	Yes	
row_46	RPSA	11845	-0.6432996988296509	-0.630536	Yes	
row_47	RPL18A	11931	-0.6672465801239014	-0.62796736	Yes	
row_48	RPL32	12127	-0.7255398631095886	-0.6327254	Yes	
row_49	RPLP2	12305	-0.7783733010292053	-0.6354595	Yes	
row_50	RPL3	12333	-0.7919432520866394	-0.6269717	Yes	
row_51	RPL30	12378	-0.8098337054252625	-0.6194987	Yes	
row_52	RPL23A	12382	-0.8110140562057495	-0.6089919	Yes	
row_53	RPS28	12386	-0.8128687143325806	-0.59846056	Yes	
row_54	RPL28	12612	-0.8952311277389526	-0.6031825	Yes	
row_55	RPL17	12705	-0.9333198070526123	-0.59760964	Yes	
row_56	RPL37A	12784	-0.9719826579093933	-0.5904948	Yes	
row_57	RPS14	12858	-1.0081791877746582	-0.5825331	Yes	
row_58	RPL15	12868	-1.0150070190429688	-0.5697696	Yes	
row_59	RPL36A	12878	-1.0224177837371826	-0.55690813	Yes	
row_60	RPS4Y1	12918	-1.0426675081253052	-0.5459873	Yes	
row_61	RPS17	12960	-1.0693308115005493	-0.53486097	Yes	
row_62	RPL29	13022	-1.1155116558074951	-0.52459615	Yes	
row_63	RPLP0	13050	-1.1358399391174316	-0.5115594	Yes	
row_64	RPS18	13126	-1.1878582239151	-0.5013682	Yes	
row_65	RPS5	13139	-1.195056438446045	-0.48644403	Yes	
row_66	RPS26	13191	-1.24735689163208	-0.47369903	Yes	
row_67	RPS3A	13198	-1.2553023099899292	-0.45753622	Yes	
row_68	RPL14	13223	-1.2730261087417603	-0.44246405	Yes	
row_69	RPS15A	13224	-1.27521812915802	-0.42559612	Yes	
row_70	RPS29	13255	-1.3176645040512085	-0.4103752	Yes	
row_71	RPS13	13283	-1.350272297859192	-0.3945021	Yes	
row_72	RPL7	13306	-1.381505012512207	-0.37784782	Yes	
row_73	RPS15	13324	-1.4007689952850342	-0.3605706	Yes	
row_74	RPL36	13380	-1.4785605669021606	-0.34506184	Yes	
row_75	RPS27A	13414	-1.524519443511963	-0.32732558	Yes	
row_76	RPS4X	13426	-1.5409870147705078	-0.30775195	Yes	
row_77	RPL39	13459	-1.611419677734375	-0.2887926	Yes	
row_78	RPL37	13460	-1.6149767637252808	-0.2674305	Yes	
row_79	RPL19	13462	-1.6178185939788818	-0.24610445	Yes	
row_80	RPS19	13469	-1.628760576248169	-0.22500171	Yes	
row_81	FAU	13491	-1.6649757623672485	-0.20452419	Yes	
row_82	RPS27L	13504	-1.720449447631836	-0.18265034	Yes	
row_83	RPL26	13514	-1.7385029792785645	-0.16031684	Yes	
row_84	RPS9	13518	-1.7493090629577637	-0.1373987	Yes	
row_85	RPLP1	13557	-1.8868073225021362	-0.115238376	Yes	
row_86	RPL21	13586	-2.0165579319000244	-0.09062561	Yes	
row_87	RPL18	13613	-2.170661449432373	-0.06382721	Yes	
row_88	RPL31	13641	-2.445829153060913	-0.033462644	Yes	
row_89	RPL11	13658	-2.7023019790649414	0.0011041944	Yes	
