NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL10A	132	1.5730088949203491	0.00957475	No	
row_1	RPL39L	840	0.9134436249732971	-0.03129625	No	
row_2	RPL12	1605	0.6437645554542542	-0.07967428	No	
row_3	RPS8	1843	0.5904987454414368	-0.08988728	No	
row_4	RPL27	2236	0.5004439949989319	-0.112622276	No	
row_5	RPS25	2773	0.4084470570087433	-0.14709285	No	
row_6	RPL8	2804	0.4030335247516632	-0.14435819	No	
row_7	RPS11	2900	0.3868279457092285	-0.1466102	No	
row_8	RPL23	3323	0.3290828466415405	-0.17365725	No	
row_9	RPL5	4130	0.2303551286458969	-0.23020072	No	
row_10	RPL4	4202	0.22397051751613617	-0.23268284	No	
row_11	EIF3D	4359	0.20511750876903534	-0.24165732	No	
row_12	EIF3B	4490	0.19093307852745056	-0.24889065	No	
row_13	EIF1AX	4799	0.15592972934246063	-0.2696648	No	
row_14	UBA52	4818	0.1540825515985489	-0.26910037	No	
row_15	RPS24	5792	0.06808315217494965	-0.33993572	No	
row_16	RPL38	6287	0.028428571298718452	-0.37597468	No	
row_17	RPS6	6372	0.019158894196152687	-0.38192704	No	
row_18	EIF3A	7222	-0.03976637125015259	-0.443976	No	
row_19	EIF3M	7380	-0.05131220445036888	-0.45491105	No	
row_20	RPS16	8012	-0.10227445513010025	-0.5001354	No	
row_21	RPS10	8174	-0.1160307452082634	-0.5105711	No	
row_22	RPL35A	8889	-0.1863023191690445	-0.56087834	No	
row_23	RPL41	9062	-0.20348773896694183	-0.57105136	No	
row_24	RPS3	9069	-0.2040742039680481	-0.5689897	No	
row_25	RPL35	9784	-0.290912926197052	-0.61801356	No	
row_26	EIF3I	9874	-0.30350545048713684	-0.62084585	No	
row_27	RPL27A	9878	-0.3038453161716461	-0.61733925	No	
row_28	RPL13	9968	-0.31434160470962524	-0.62003857	No	
row_29	RPL34	10212	-0.34599635004997253	-0.6336931	No	
row_30	RPL13A	10327	-0.36185699701309204	-0.63765097	No	
row_31	EIF3J	10339	-0.3633514642715454	-0.6340036	No	
row_32	RPL22	10401	-0.3721303343772888	-0.63393146	No	
row_33	EIF3C	10426	-0.3753826916217804	-0.6310941	No	
row_34	RPL24	10463	-0.3802189230918884	-0.62908125	No	
row_35	RPL22L1	10476	-0.38251498341560364	-0.62527245	No	
row_36	EIF3F	10583	-0.4003377854824066	-0.628169	No	
row_37	RPS27	10586	-0.40079015493392944	-0.6233994	No	
row_38	RPL26L1	10671	-0.41555848717689514	-0.62448865	No	
row_39	RPS2	10678	-0.4165341556072235	-0.61982054	No	
row_40	RPL7A	10712	-0.4204258918762207	-0.6170935	No	
row_41	RPS7	11336	-0.5374475121498108	-0.65638983	No	
row_42	RPS21	11338	-0.5378749966621399	-0.6498648	No	
row_43	RPL36AL	11460	-0.5597624778747559	-0.6519104	No	
row_44	RPS23	11565	-0.5834056735038757	-0.6524137	No	
row_45	RPS20	11729	-0.6179785132408142	-0.6568388	Yes	
row_46	RPL10	11766	-0.6280835866928101	-0.65178514	Yes	
row_47	RPL6	11782	-0.6300248503684998	-0.64516085	Yes	
row_48	EIF3K	11801	-0.6339274048805237	-0.63870966	Yes	
row_49	RPS12	11844	-0.6432996392250061	-0.6339113	Yes	
row_50	RPSA	11845	-0.6432996988296509	-0.62601924	Yes	
row_51	RPL18A	11931	-0.6672465801239014	-0.6240945	Yes	
row_52	RPL32	12127	-0.7255398631095886	-0.6295571	Yes	
row_53	RPLP2	12305	-0.7783733010292053	-0.6330456	Yes	
row_54	RPL3	12333	-0.7919432520866394	-0.6253188	Yes	
row_55	RPL30	12378	-0.8098337054252625	-0.61862475	Yes	
row_56	RPL23A	12382	-0.8110140562057495	-0.60889614	Yes	
row_57	RPS28	12386	-0.8128687143325806	-0.59914476	Yes	
row_58	EIF3G	12504	-0.8543063998222351	-0.59728223	Yes	
row_59	RPL28	12612	-0.8952311277389526	-0.594181	Yes	
row_60	RPL17	12705	-0.9333198070526123	-0.58950764	Yes	
