NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MX1	6	2.902200222015381	0.042463098	Yes	
row_1	CXCL10	9	2.8531296253204346	0.08449503	Yes	
row_2	EIF2AK2	15	2.6268818378448486	0.12296154	Yes	
row_3	IFI44L	17	2.583742141723633	0.16108458	Yes	
row_4	IFIT3	22	2.4951834678649902	0.1976777	Yes	
row_5	RSAD2	35	2.173553705215454	0.2289275	Yes	
row_6	IFITM1	40	2.07757830619812	0.25934696	Yes	
row_7	PNPT1	46	1.9752384424209595	0.28817996	Yes	
row_8	SP110	50	1.9425128698349	0.3166763	Yes	
row_9	IFIT2	52	1.9159952402114868	0.3449277	Yes	
row_10	ISG15	81	1.7975640296936035	0.36944202	Yes	
row_11	IFI44	134	1.5706547498703003	0.38883618	Yes	
row_12	SAMD9L	216	1.4234058856964111	0.40392005	Yes	
row_13	SAMD9	261	1.359216332435608	0.420777	Yes	
row_14	SLC25A28	273	1.3394830226898193	0.43976992	Yes	
row_15	CNP	331	1.288353443145752	0.4546229	Yes	
row_16	CXCL11	370	1.2403773069381714	0.47016436	Yes	
row_17	IFITM2	379	1.234442949295044	0.48782516	Yes	
row_18	USP18	463	1.1357418298721313	0.49850923	Yes	
row_19	HERC6	477	1.1273205280303955	0.5142185	Yes	
row_20	IFI27	480	1.1258652210235596	0.5307156	Yes	
row_21	BATF2	525	1.088398814201355	0.54356885	Yes	
row_22	LAP3	554	1.0693812370300293	0.55731815	Yes	
row_23	IRF7	574	1.050553321838379	0.5714511	Yes	
row_24	ISG20	613	1.0258421897888184	0.58382106	Yes	
row_25	LAMP3	706	0.9819889068603516	0.59157	Yes	
row_26	IFIH1	772	0.9442739486694336	0.60074776	Yes	
row_27	IL7	820	0.919529139995575	0.61088395	Yes	
row_28	EPSTI1	822	0.9187268614768982	0.62439233	Yes	
row_29	PLSCR1	856	0.9054085612297058	0.63534963	Yes	
row_30	TAP1	947	0.8679577112197876	0.64155996	Yes	
row_31	IRF9	1179	0.7808153033256531	0.63610905	Yes	
row_32	BST2	1234	0.757101833820343	0.643329	Yes	
row_33	CSF1	1512	0.6689003705978394	0.6328395	No	
row_34	HELZ2	1586	0.6483824253082275	0.63705444	No	
row_35	CMPK2	1702	0.6218497157096863	0.6377873	No	
row_36	LY6E	2051	0.5434048771858215	0.62021923	No	
row_37	UBE2L6	2264	0.4939209222793579	0.6119248	No	
row_38	TRIM5	2339	0.4780920147895813	0.6135487	No	
row_39	GBP4	2408	0.4682690501213074	0.61546874	No	
row_40	IFI35	2436	0.4625629782676697	0.62032074	No	
row_41	OAS1	2572	0.4399574100971222	0.61689323	No	
row_42	TMEM140	2667	0.42377710342407227	0.61624277	No	
row_43	GMPR	2681	0.4223933815956116	0.62153083	No	
row_44	STAT2	2719	0.4165981113910675	0.6249676	No	
row_45	TRIM25	2795	0.40463829040527344	0.625432	No	
row_46	NUB1	3113	0.35736894607543945	0.6073943	No	
row_47	MOV10	3151	0.3519415855407715	0.6098752	No	
row_48	NMI	3683	0.28043270111083984	0.5749568	No	
row_49	PARP14	3871	0.2584313154220581	0.5650202	No	
row_50	IL15	3917	0.2524471580982208	0.56544167	No	
row_51	TXNIP	4037	0.2389349341392517	0.56021947	No	
row_52	RNF31	4854	0.14972786605358124	0.50240207	No	
row_53	IFITM3	5576	0.08436118811368942	0.45060718	No	
row_54	PROCR	5908	0.059774067252874374	0.4271401	No	
row_55	TDRD7	7056	-0.02622132934629917	0.34314606	No	
row_56	RIPK2	7398	-0.05244356766343117	0.3188349	No	
row_57	RTP4	7454	-0.05698968470096588	0.3156312	No	
row_58	CD74	7750	-0.08051712065935135	0.2951192	No	
row_59	OASL	8068	-0.10667598992586136	0.2733754	No	
row_60	IRF1	8220	-0.12056658416986465	0.26404914	No	
row_61	CCRL2	8325	-0.12855017185211182	0.25829855	No	
row_62	GBP2	8358	-0.13154184818267822	0.25788903	No	
row_63	TRIM21	8400	-0.1353718787431717	0.25687402	No	
row_64	HLA-C	9100	-0.2070898711681366	0.20851201	No	
row_65	TRIM26	9243	-0.22251956164836884	0.20135505	No	
row_66	CD47	9905	-0.30643075704574585	0.15725718	No	
row_67	B2M	10106	-0.3318917453289032	0.14745024	No	
row_68	ADAR	10110	-0.332060307264328	0.15213853	No	
row_69	UBA7	10454	-0.3790654242038727	0.13250884	No	
row_70	TENT5A	10561	-0.3960598409175873	0.13056584	No	
row_71	IRF2	10585	-0.4005700349807739	0.13479559	No	
row_72	PARP12	11018	-0.4748378098011017	0.110034265	No	
row_73	OGFR	11033	-0.4770570397377014	0.11605686	No	
row_74	TRIM14	11229	-0.5124462246894836	0.109286964	No	
row_75	PSME2	11671	-0.6056193113327026	0.08579693	No	
row_76	CMTR1	11719	-0.6169171333312988	0.09145942	No	
row_77	IFI30	12034	-0.6979106664657593	0.07867682	No	
row_78	C1S	12294	-0.7737296223640442	0.071061276	No	
row_79	TRAFD1	12740	-0.954306423664093	0.052431766	No	
row_80	LGALS3BP	12994	-1.0912758111953735	0.049952053	No	
