NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MX1	6	2.902200222015381	0.028318672	Yes	
row_1	CXCL10	9	2.8531296253204346	0.056446735	Yes	
row_2	EIF2AK2	15	2.6268818378448486	0.08211079	Yes	
row_3	IFI44L	17	2.583742141723633	0.107643016	Yes	
row_4	IFIT3	22	2.4951834678649902	0.1320758	Yes	
row_5	IFIT1	24	2.4777567386627197	0.15655766	Yes	
row_6	RSAD2	35	2.173553705215454	0.17735939	Yes	
row_7	XAF1	39	2.080681085586548	0.19775818	Yes	
row_8	MX2	45	2.011532783508301	0.21732382	Yes	
row_9	PNPT1	46	1.9752384424209595	0.2368994	Yes	
row_10	SP110	50	1.9425128698349	0.25592887	Yes	
row_11	IFIT2	52	1.9159952402114868	0.27484342	Yes	
row_12	ISG15	81	1.7975640296936035	0.29058823	Yes	
row_13	DDX58	85	1.772188425064087	0.3079297	Yes	
row_14	IFI44	134	1.5706547498703003	0.3199472	Yes	
row_15	OAS2	163	1.514277696609497	0.3328845	Yes	
row_16	METTL7B	178	1.4856096506118774	0.34657267	Yes	
row_17	SAMD9L	216	1.4234058856964111	0.35794404	Yes	
row_18	AUTS2	237	1.3863182067871094	0.3702046	Yes	
row_19	SLC25A28	273	1.3394830226898193	0.38089213	Yes	
row_20	CXCL11	370	1.2403773069381714	0.38608795	Yes	
row_21	IFITM2	379	1.234442949295044	0.39773047	Yes	
row_22	IL15RA	401	1.2176344394683838	0.40824538	Yes	
row_23	USP18	463	1.1357418298721313	0.41499165	Yes	
row_24	HERC6	477	1.1273205280303955	0.4252029	Yes	
row_25	IFI27	480	1.1258652210235596	0.43621293	Yes	
row_26	BATF2	525	1.088398814201355	0.44374675	Yes	
row_27	TNFSF10	546	1.07522714138031	0.45292425	Yes	
row_28	TNFAIP3	550	1.07125985622406	0.46331918	Yes	
row_29	LAP3	554	1.0693812370300293	0.4736955	Yes	
row_30	IRF7	574	1.050553321838379	0.4827024	Yes	
row_31	ISG20	613	1.0258421897888184	0.4900598	Yes	
row_32	PFKP	643	1.0099238157272339	0.49792477	Yes	
row_33	SECTM1	662	1.0017954111099243	0.5065224	Yes	
row_34	HLA-B	722	0.9718466401100159	0.51179224	Yes	
row_35	IFIH1	772	0.9442739486694336	0.51752806	Yes	
row_36	IL7	820	0.919529139995575	0.5231665	Yes	
row_37	EPSTI1	822	0.9187268614768982	0.5321976	Yes	
row_38	PLSCR1	856	0.9054085612297058	0.5387311	Yes	
row_39	TAP1	947	0.8679577112197876	0.54067963	Yes	
row_40	STAT4	1052	0.8236805200576782	0.5411544	Yes	
row_41	IRF9	1179	0.7808153033256531	0.5395779	Yes	
row_42	BST2	1234	0.757101833820343	0.54308915	Yes	
row_43	TNFAIP6	1495	0.6743404865264893	0.5305514	Yes	
row_44	SOCS3	1501	0.6729965209960938	0.53685147	Yes	
row_45	OAS3	1524	0.665909469127655	0.5418246	Yes	
row_46	HELZ2	1586	0.6483824253082275	0.54374087	Yes	
row_47	CMPK2	1702	0.6218497157096863	0.5414022	No	
row_48	FPR1	1827	0.5940532684326172	0.5381227	No	
row_49	HIF1A	2032	0.5470321178436279	0.5284631	No	
row_50	LY6E	2051	0.5434048771858215	0.53251785	No	
row_51	SSPN	2174	0.5140483379364014	0.5285933	No	
row_52	UBE2L6	2264	0.4939209222793579	0.5269089	No	
row_53	IL6	2317	0.48277395963668823	0.52784926	No	
row_54	GBP4	2408	0.4682690501213074	0.52583665	No	
row_55	IFI35	2436	0.4625629782676697	0.52842486	No	
row_56	ITGB7	2715	0.4168853461742401	0.5120049	No	
row_57	STAT2	2719	0.4165981113910675	0.5159119	No	
row_58	TRIM25	2795	0.40463829040527344	0.51437753	No	
row_59	STAT1	3058	0.3656936287879944	0.4986331	No	
row_60	PIM1	3384	0.3209163546562195	0.4777875	No	
row_61	SLAMF7	3427	0.3157150149345398	0.4778115	No	
row_62	C1R	3552	0.2987750470638275	0.47160563	No	
row_63	NMI	3683	0.28043270111083984	0.46477446	No	
row_64	MVP	3761	0.27118799090385437	0.46176973	No	
row_65	PARP14	3871	0.2584313154220581	0.45627296	No	
row_66	IL15	3917	0.2524471580982208	0.45544815	No	
row_67	TXNIP	4037	0.2389349341392517	0.4490189	No	
row_68	BANK1	4167	0.2273893803358078	0.44173595	No	
row_69	ISOC1	4247	0.21891243755817413	0.43806532	No	
row_70	CASP3	4470	0.1931980550289154	0.42356837	No	
row_71	PTGS2	4646	0.1732192039489746	0.41234797	No	
row_72	STAT3	4648	0.17317616939544678	0.41399032	No	
row_73	RNF31	4854	0.14972786605358124	0.4003193	No	
row_74	RNF213	4952	0.14321456849575043	0.3945678	No	
row_75	RBCK1	5032	0.13579723238945007	0.39007345	No	
row_76	NUP93	5154	0.12399005144834518	0.38235718	No	
row_77	RAPGEF6	5218	0.11730394512414932	0.37886235	No	
row_78	NFKB1	5274	0.11137949675321579	0.37590024	No	
row_79	TNFAIP2	5464	0.09558393806219101	0.36287546	No	
row_80	CD40	5561	0.08538787066936493	0.35662478	No	
row_81	IFITM3	5576	0.08436118811368942	0.35642588	No	
row_82	HLA-A	5622	0.0803796648979187	0.3538958	No	
row_83	HLA-G	5777	0.06912434846162796	0.3431962	No	
row_84	ARL4A	6096	0.045131877064704895	0.32013497	No	
row_85	MTHFD2	6331	0.023580240085721016	0.30306992	No	
row_86	MYD88	6397	0.017175989225506783	0.29843494	No	
row_87	BTG1	6547	0.008472475223243237	0.2875039	No	
row_88	BPGM	6790	-0.003681641537696123	0.26965022	No	
row_89	LATS2	6959	-0.018122941255569458	0.25741023	No	
row_90	EIF4E3	7054	-0.026204075664281845	0.25072086	No	
row_91	TDRD7	7056	-0.02622132934629917	0.2509068	No	
row_92	RIPK2	7398	-0.05244356766343117	0.2262177	No	
row_93	APOL6	7402	-0.052752185612916946	0.22651872	No	
row_94	RTP4	7454	-0.05698968470096588	0.22331329	No	
row_95	IFNAR2	7602	-0.06842035055160522	0.2131242	No	
row_96	CD74	7750	-0.08051712065935135	0.20305501	No	
row_97	ZNFX1	7753	-0.08067385107278824	0.20370668	No	
row_98	TAPBP	7786	-0.08301235735416412	0.20216374	No	
row_99	PELI1	7889	-0.09149445593357086	0.19553001	No	
row_100	VCAM1	7931	-0.09510676562786102	0.1934416	No	
row_101	NFKBIA	8026	-0.103303924202919	0.18751632	No	
row_102	OASL	8068	-0.10667598992586136	0.18554255	No	
row_103	PTPN6	8094	-0.10930197685956955	0.18477763	No	
row_104	SPPL2A	8197	-0.11884713917970657	0.178415	No	
row_105	IRF1	8220	-0.12056658416986465	0.1779835	No	
row_106	PSMB10	8224	-0.1206917017698288	0.17895783	No	
row_107	CFH	8336	-0.12937159836292267	0.17203416	No	
row_108	TRIM21	8400	-0.1353718787431717	0.1687184	No	
row_109	VAMP5	8485	-0.14310139417648315	0.16392681	No	
row_110	CDKN1A	8487	-0.14312948286533356	0.16527136	No	
row_111	HLA-DMA	8646	-0.160341277718544	0.15518008	No	
row_112	PTPN1	8655	-0.1614234745502472	0.15618846	No	
row_113	IL18BP	9036	-0.20171408355236053	0.13009557	No	
row_114	TRIM26	9243	-0.22251956164836884	0.11707205	No	
row_115	PML	9311	-0.22928635776042938	0.114391334	No	
row_116	TOR1B	9326	-0.2310103327035904	0.115645796	No	
row_117	ST8SIA4	9526	-0.25472578406333923	0.10345893	No	
row_118	CCL5	10018	-0.32046762108802795	0.07033715	No	
row_119	B2M	10106	-0.3318917453289032	0.067194775	No	
row_120	ADAR	10110	-0.332060307264328	0.07026388	No	
row_121	NOD1	10122	-0.3333725929260254	0.07275458	No	
row_122	IRF2	10585	-0.4005700349807739	0.042570505	No	
row_123	LYSMD2	10749	-0.425108939409256	0.03473357	No	
row_124	SOCS1	10904	-0.44892603158950806	0.02779801	No	
row_125	ARID5B	10914	-0.4507801830768585	0.031600125	No	
row_126	MT2A	10938	-0.45540133118629456	0.034413073	No	
row_127	PARP12	11018	-0.4748378098011017	0.03327878	No	
row_128	OGFR	11033	-0.4770570397377014	0.03697168	No	
row_129	TRIM14	11229	-0.5124462246894836	0.02763466	No	
row_130	PSME2	11671	-0.6056193113327026	0.0010351791	No	
row_131	CMTR1	11719	-0.6169171333312988	0.0036745982	No	
row_132	HLA-DRB1	11748	-0.6230831146240234	0.007779723	No	
row_133	IFI30	12034	-0.6979106664657593	-0.0063726134	No	
row_134	IDO1	12065	-0.7056679129600525	-0.0015968848	No	
row_135	RIPK1	12094	-0.7153378129005432	0.00342253	No	
row_136	C1S	12294	-0.7737296223640442	-0.0036207486	No	
row_137	IRF5	12336	-0.7924097180366516	0.0012014451	No	
row_138	VAMP8	12413	-0.82343989610672	0.0037437456	No	
row_139	SRI	12450	-0.8356537818908691	0.009364141	No	
row_140	ST3GAL5	12496	-0.8510361313819885	0.014471646	No	
row_141	TRAFD1	12740	-0.954306423664093	0.005965219	No	
row_142	CASP4	12803	-0.9803052544593811	0.0110971	No	
row_143	LGALS3BP	12994	-1.0912758111953735	0.007866196	No	
row_144	HLA-DQA1	13101	-1.167661190032959	0.011602112	No	
row_145	PSMB2	13192	-1.2483909130096436	0.017320918	No	
row_146	PSMA2	13542	-1.8327841758728027	0.0096844565	No	
