NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NBN	18	2.5745625495910645	0.11427908	Yes	
row_1	ATR	107	1.683885931968689	0.18343204	Yes	
row_2	RAD50	117	1.6327543258666992	0.25608352	Yes	
row_3	RAD51AP1	441	1.1690865755081177	0.28488538	Yes	
row_4	RAD51	838	0.9138126969337463	0.29687107	Yes	
row_5	CHEK1	925	0.8758730292320251	0.3298905	Yes	
row_6	EXO1	1278	0.7434435486793518	0.33745372	Yes	
row_7	XRCC2	1375	0.712899923324585	0.3624221	Yes	
row_8	MRE11	1542	0.6617169976234436	0.37995812	Yes	
row_9	KAT5	1646	0.6359779238700867	0.40095922	Yes	
row_10	RAD51D	1705	0.6217214465141296	0.4246208	Yes	
row_11	RFC4	1791	0.6018726229667664	0.44541082	Yes	
row_12	BRCA1	1822	0.5951451659202576	0.4699328	Yes	
row_13	BRCA2	1897	0.5753301978111267	0.49033782	Yes	
row_14	BARD1	1948	0.5627413392066956	0.5119379	Yes	
row_15	RHNO1	1964	0.5598395466804504	0.53597486	Yes	
row_16	RFC5	2054	0.5431157350540161	0.55383325	Yes	
row_17	RMI2	2155	0.5185139179229736	0.56978023	Yes	
row_18	PALB2	2307	0.4850369989871979	0.5804834	Yes	
row_19	BRIP1	3815	0.265664666891098	0.48187938	No	
row_20	RAD17	3831	0.2635890245437622	0.49261448	No	
row_21	RPA2	4210	0.22315672039985657	0.47490954	No	
row_22	RPA3	4767	0.15845467150211334	0.44124386	No	
row_23	BLM	4881	0.14773954451084137	0.43958932	No	
row_24	RAD1	5047	0.13464336097240448	0.4335328	No	
row_25	RFC2	5514	0.09013144671916962	0.40340048	No	
row_26	RFC3	5623	0.08036042004823685	0.39908734	No	
row_27	RPA1	6068	0.047338422387838364	0.36864722	No	
row_28	TOP3A	6870	-0.010251748375594616	0.31035733	No	
row_29	RAD51C	7414	-0.053439486771821976	0.2729299	No	
row_30	RMI1	8066	-0.1061696857213974	0.2299487	No	
row_31	TOPBP1	8089	-0.10869248956441879	0.23321545	No	
row_32	DNA2	8116	-0.11129457503557205	0.23630564	No	
row_33	HUS1	9460	-0.24697697162628174	0.1488913	No	
row_34	RBBP8	9496	-0.25073882937431335	0.1575825	No	
row_35	XRCC3	9518	-0.2540002763271332	0.16744699	No	
row_36	ATRIP	11257	-0.5182476043701172	0.06324117	No	
row_37	WRN	11597	-0.5893503427505493	0.06483902	No	
row_38	RAD51B	12408	-0.8215996623039246	0.042319007	No	
row_39	ATM	13032	-1.1222631931304932	0.04701467	No	
