NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFIT5	3	3.2034339904785156	0.06400783	Yes	
row_1	MX1	6	2.902200222015381	0.12204942	Yes	
row_2	IFIT3	22	2.4951834678649902	0.17097594	Yes	
row_3	IFIT1	24	2.4777567386627197	0.22058097	Yes	
row_4	RSAD2	35	2.173553705215454	0.26342598	Yes	
row_5	XAF1	39	2.080681085586548	0.30492288	Yes	
row_6	IFITM1	40	2.07757830619812	0.34657785	Yes	
row_7	MX2	45	2.011532783508301	0.38661492	Yes	
row_8	IFIT2	52	1.9159952402114868	0.42458963	Yes	
row_9	ISG15	81	1.7975640296936035	0.45857456	Yes	
row_10	OAS2	163	1.514277696609497	0.48298836	Yes	
row_11	IFI6	260	1.359354853630066	0.50319463	Yes	
row_12	KPNA1	290	1.3207992315292358	0.5275471	Yes	
row_13	IFITM2	379	1.234442949295044	0.5458363	Yes	
row_14	USP18	463	1.1357418298721313	0.5625137	Yes	
row_15	SAMHD1	472	1.128713607788086	0.58455676	Yes	
row_16	IFI27	480	1.1258652210235596	0.60661614	Yes	
row_17	IRF7	574	1.050553321838379	0.62085134	Yes	
row_18	ISG20	613	1.0258421897888184	0.6386292	Yes	
row_19	HLA-B	722	0.9718466401100159	0.650185	Yes	
row_20	RNASEL	816	0.9205294847488403	0.6618132	Yes	
row_21	KPNB1	953	0.8652337789535522	0.6691756	Yes	
row_22	IRF9	1179	0.7808153033256531	0.66831094	Yes	
row_23	BST2	1234	0.757101833820343	0.6795259	Yes	
row_24	EGR1	1419	0.6987256407737732	0.68002564	Yes	
row_25	SOCS3	1501	0.6729965209960938	0.68757194	Yes	
row_26	OAS3	1524	0.665909469127655	0.699308	Yes	
row_27	IFI35	2436	0.4625629782676697	0.6416953	No	
row_28	OAS1	2572	0.4399574100971222	0.6406045	No	
row_29	STAT2	2719	0.4165981113910675	0.63823766	No	
row_30	IP6K2	3915	0.252537339925766	0.5555623	No	
row_31	ABCE1	4695	0.1678885817527771	0.5017332	No	
row_32	IFITM3	5576	0.08436118811368942	0.43881372	No	
row_33	HLA-A	5622	0.0803796648979187	0.43712133	No	
row_34	HLA-G	5777	0.06912434846162796	0.42720038	No	
row_35	HLA-F	7239	-0.04083762690424919	0.32075042	No	
row_36	IRF3	7876	-0.09043445438146591	0.27586758	No	
row_37	PTPN11	7917	-0.09381275624036789	0.27481166	No	
row_38	OASL	8068	-0.10667598992586136	0.26593727	No	
row_39	PTPN6	8094	-0.10930197685956955	0.2662932	No	
row_40	IRF1	8220	-0.12056658416986465	0.25953284	No	
row_41	GBP2	8358	-0.13154184818267822	0.2521115	No	
row_42	HLA-E	8567	-0.15190856158733368	0.23988557	No	
row_43	IFNAR1	8576	-0.1526876986026764	0.24235955	No	
row_44	PTPN1	8655	-0.1614234745502472	0.23986918	No	
row_45	HLA-C	9100	-0.2070898711681366	0.21142216	No	
row_46	ADAR	10110	-0.332060307264328	0.14399765	No	
row_47	IRF2	10585	-0.4005700349807739	0.11722723	No	
row_48	TYK2	10882	-0.44579532742500305	0.104432575	No	
row_49	SOCS1	10904	-0.44892603158950806	0.11189158	No	
row_50	IRF6	11530	-0.5771806836128235	0.07757552	No	
row_51	IRF5	12336	-0.7924097180366516	0.034358893	No	
row_52	PSMB8	12998	-1.0954561233520508	0.0077909557	No	
row_53	JAK1	13596	-2.079577922821045	0.005653403	No	
