NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCC3	570	1.057949423789978	-0.024944097	No	
row_1	MT-ND6	2138	0.5236268043518066	-0.13179442	No	
row_2	NDUFS2	2369	0.47393059730529785	-0.14110462	No	
row_3	CYCS	2663	0.42472365498542786	-0.1558383	No	
row_4	NDUFS8	2750	0.4122324287891388	-0.15554738	No	
row_5	SDHC	2835	0.39765363931655884	-0.15534337	No	
row_6	NDUFV3	3023	0.36937007308006287	-0.16316906	No	
row_7	COA6	3072	0.3631051182746887	-0.1608717	No	
row_8	NDUFAF1	3241	0.3402128219604492	-0.16776788	No	
row_9	SDHAF2	3373	0.32255247235298157	-0.17222613	No	
row_10	MT-ND4L	4690	0.16801615059375763	-0.26632267	No	
row_11	CYC1	5110	0.12897096574306488	-0.2950706	No	
row_12	COX8A	6084	0.046129487454891205	-0.3658954	No	
row_13	NDUFS3	6220	0.0346207469701767	-0.37526911	No	
row_14	NDUFS6	6767	-0.0019736140966415405	-0.4153963	No	
row_15	NDUFS7	6787	-0.0033299915958195925	-0.41674033	No	
row_16	COX5A	6807	-0.004940347280353308	-0.4180585	No	
row_17	MT-ND2	7070	-0.027573974803090096	-0.4368863	No	
row_18	MT-CO1	7143	-0.033348966389894485	-0.44164675	No	
row_19	NDUFC2	7664	-0.0735655128955841	-0.47871256	No	
row_20	MT-CO3	8030	-0.10346442461013794	-0.5038981	No	
row_21	COX15	8071	-0.10698800534009933	-0.505123	No	
row_22	MT-CO2	8254	-0.12321575731039047	-0.5165317	No	
row_23	NDUFV1	8696	-0.1658245027065277	-0.54630625	No	
row_24	AFG1L	8697	-0.16588397324085236	-0.54364383	No	
row_25	NDUFA2	8755	-0.170172318816185	-0.545105	No	
row_26	MT-ND5	8764	-0.17090903222560883	-0.5429503	No	
row_27	TAFAZZIN	9839	-0.2989199459552765	-0.6171465	No	
row_28	NDUFB3	9994	-0.3175901174545288	-0.6233761	No	
row_29	UQCRC1	10171	-0.3396632671356201	-0.63086945	No	
row_30	NDUFA10	10406	-0.37281620502471924	-0.64209676	No	
row_31	NDUFB9	10559	-0.39579570293426514	-0.646924	No	
row_32	COX4I1	10589	-0.4016340970993042	-0.6426108	No	
row_33	MT-ND4	10603	-0.4041005074977875	-0.6370812	No	
row_34	NDUFS1	10657	-0.41281017661094666	-0.6343538	No	
row_35	UQCRHL	10679	-0.4166224002838135	-0.62921166	No	
row_36	COX7B	10874	-0.4443676769733429	-0.6363485	No	
row_37	MT-ND1	10940	-0.45646122097969055	-0.6338031	No	
row_38	UQCRC2	11105	-0.48982709646224976	-0.6380038	No	
row_39	NDUFA9	11133	-0.49593231081962585	-0.63203	No	
row_40	NDUFC1	11803	-0.6340871453285217	-0.67105865	Yes	
row_41	UQCRQ	11945	-0.6713986992835999	-0.67065346	Yes	
row_42	NDUFV2	12044	-0.7014801502227783	-0.66660273	Yes	
row_43	NDUFB7	12218	-0.7513547539710999	-0.6672679	Yes	
row_44	MT-CYB	12340	-0.7937132716178894	-0.66342854	Yes	
row_45	NDUFA8	12415	-0.8235515356063843	-0.65565336	Yes	
row_46	SDHA	12480	-0.846764862537384	-0.6467701	Yes	
row_47	COX6A1	12493	-0.8499431014060974	-0.6340112	Yes	
row_48	COX7A2	12547	-0.868537425994873	-0.6239695	Yes	
row_49	SDHB	12696	-0.9279624223709106	-0.6199613	Yes	
row_50	NDUFAB1	12793	-0.9753090143203735	-0.6113686	Yes	
row_51	NDUFA3	12840	-0.9987074732780457	-0.59872276	Yes	
row_52	NDUFB5	12958	-1.0686440467834473	-0.5901766	Yes	
row_53	SDHD	12962	-1.0704628229141235	-0.57321644	Yes	
row_54	UQCR11	13080	-1.1519628763198853	-0.563333	Yes	
row_55	COX6B1	13097	-1.1648272275924683	-0.5458144	Yes	
row_56	NDUFB4	13103	-1.1697803735733032	-0.5274073	Yes	
row_57	NDUFS4	13134	-1.1919666528701782	-0.51048285	Yes	
row_58	UQCRH	13137	-1.1930246353149414	-0.49148202	Yes	
row_59	NDUFA5	13146	-1.201181173324585	-0.47279155	Yes	
row_60	NDUFA6	13155	-1.2107065916061401	-0.45394823	Yes	
row_61	NDUFB1	13202	-1.25712251663208	-0.43715486	Yes	
row_62	NDUFB8	13210	-1.2610019445419312	-0.41743076	Yes	
row_63	NDUFB6	13274	-1.344009518623352	-0.4004932	Yes	
row_64	NDUFA7	13279	-1.3461875915527344	-0.37918124	Yes	
row_65	NDUFS5	13282	-1.3494203090667725	-0.35767025	Yes	
row_66	NDUFA12	13355	-1.4363946914672852	-0.3399119	Yes	
row_67	UQCRB	13379	-1.476861596107483	-0.31790006	Yes	
row_68	NDUFB2	13381	-1.4792155027389526	-0.29423234	Yes	
row_69	COX7C	13579	-1.9692124128341675	-0.2771162	Yes	
row_70	UQCRFS1	13585	-2.0090081691741943	-0.24523954	Yes	
row_71	UQCR10	13595	-2.0733797550201416	-0.21262392	Yes	
row_72	COX5B	13601	-2.105435371398926	-0.17919962	Yes	
row_73	NDUFA1	13607	-2.1444315910339355	-0.14514942	Yes	
row_74	NDUFA4	13612	-2.1684153079986572	-0.11064074	Yes	
row_75	MT-ND3	13616	-2.1806890964508057	-0.07586152	Yes	
row_76	NDUFB10	13630	-2.326066493988037	-0.03948451	Yes	
row_77	COX6C	13656	-2.6525847911834717	0.0012504805	Yes	
