NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFIT5	3	3.2034339904785156	0.08263457	Yes	
row_1	MX1	6	2.902200222015381	0.1575513	Yes	
row_2	EIF2AK2	15	2.6268818378448486	0.22490679	Yes	
row_3	IFIT1	24	2.4777567386627197	0.28840524	Yes	
row_4	RSAD2	35	2.173553705215454	0.3438889	Yes	
row_5	IFITM1	40	2.07757830619812	0.39733055	Yes	
row_6	ISG15	81	1.7975640296936035	0.4408878	Yes	
row_7	OAS2	163	1.514277696609497	0.47410908	Yes	
row_8	IFITM2	379	1.234442949295044	0.4902585	Yes	
row_9	TNF	394	1.2238147258758545	0.5208842	Yes	
row_10	ISG20	613	1.0258421897888184	0.53141814	Yes	
row_11	APOBEC3B	686	0.9899182319641113	0.5517377	Yes	
row_12	IFIH1	772	0.9442739486694336	0.5699227	Yes	
row_13	RNASEL	816	0.9205294847488403	0.5905758	Yes	
row_14	PLSCR1	856	0.9054085612297058	0.6111315	Yes	
row_15	N4BP1	965	0.8602092862129211	0.6254542	Yes	
row_16	BST2	1234	0.757101833820343	0.6253679	Yes	
row_17	OAS3	1524	0.665909469127655	0.6213817	Yes	
row_18	APOBEC3C	1972	0.5584008693695068	0.6030195	Yes	
row_19	APOBEC3D	2175	0.5139032602310181	0.6014866	Yes	
row_20	APOBEC3A	2277	0.4916556775569916	0.6067907	Yes	
row_21	MAVS	2390	0.4700865149497986	0.6107296	Yes	
row_22	IFI16	2514	0.4519557058811188	0.6133923	Yes	
row_23	APOBEC3F	2571	0.44004738330841064	0.62066406	Yes	
row_24	OAS1	2572	0.4399574100971222	0.63204324	Yes	
row_25	FAM111A	2755	0.411513090133667	0.6293299	No	
row_26	TRIM6	3085	0.36104661226272583	0.6145232	No	
row_27	RESF1	3091	0.36013853549957275	0.62347096	No	
row_28	ZC3HAV1	3367	0.32318592071533203	0.61164796	No	
row_29	INPP5K	4221	0.2226489782333374	0.5548057	No	
row_30	SRPK2	4631	0.17462924122810364	0.52930623	No	
row_31	MORC2	5560	0.08541303873062134	0.46341032	No	
row_32	IFITM3	5576	0.08436118811368942	0.46449143	No	
row_33	ILF3	6204	0.036184344440698624	0.41941234	No	
row_34	TNIP1	6675	0.003310542553663254	0.3850051	No	
row_35	HMGA2	7211	-0.038983821868896484	0.3467502	No	
row_36	PARP10	7473	-0.05832129344344139	0.3291041	No	
row_37	ZNFX1	7753	-0.08067385107278824	0.3107151	No	
row_38	OASL	8068	-0.10667598992586136	0.29043004	No	
row_39	SHFL	8533	-0.14804084599018097	0.26020646	No	
row_40	SETDB1	8787	-0.174052432179451	0.24614076	No	
row_41	CCL5	10018	-0.32046762108802795	0.16416085	No	
row_42	APOBEC3G	10496	-0.38521748781204224	0.13911764	No	
row_43	BANF1	11189	-0.5063539147377014	0.1014289	No	
row_44	SRPK1	11670	-0.6055091023445129	0.08186323	No	
row_45	MPHOSPH8	12016	-0.6910433769226074	0.074417375	No	
row_46	SLPI	12529	-0.8633093237876892	0.059171084	No	
row_47	TASOR	12746	-0.9554667472839355	0.068031564	No	
