NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFIT5	3	3.2034339904785156	0.07182121	Yes	
row_1	MX1	6	2.902200222015381	0.13694151	Yes	
row_2	EIF2AK2	15	2.6268818378448486	0.19542919	Yes	
row_3	IFIT1	24	2.4777567386627197	0.2505632	Yes	
row_4	RSAD2	35	2.173553705215454	0.298709	Yes	
row_5	IFITM1	40	2.07757830619812	0.34513748	Yes	
row_6	ISG15	81	1.7975640296936035	0.38262263	Yes	
row_7	OAS2	163	1.514277696609497	0.41072336	Yes	
row_8	IFITM2	379	1.234442949295044	0.42268163	Yes	
row_9	TNF	394	1.2238147258758545	0.44917485	Yes	
row_10	ISG20	613	1.0258421897888184	0.4562214	Yes	
row_11	APOBEC3B	686	0.9899182319641113	0.4731914	Yes	
row_12	IFIH1	772	0.9442739486694336	0.4881794	Yes	
row_13	RNASEL	816	0.9205294847488403	0.5057205	Yes	
row_14	PLSCR1	856	0.9054085612297058	0.52321553	Yes	
row_15	N4BP1	965	0.8602092862129211	0.53462243	Yes	
row_16	BST2	1234	0.757101833820343	0.5319502	Yes	
row_17	OAS3	1524	0.665909469127655	0.5256836	Yes	
row_18	APOBEC3C	1972	0.5584008693695068	0.5053858	Yes	
row_19	LY6E	2051	0.5434048771858215	0.51187325	Yes	
row_20	APOBEC3D	2175	0.5139032602310181	0.5143896	Yes	
row_21	APOBEC3A	2277	0.4916556775569916	0.5180226	Yes	
row_22	TRIM5	2339	0.4780920147895813	0.52429074	Yes	
row_23	MAVS	2390	0.4700865149497986	0.53118736	Yes	
row_24	IFI16	2514	0.4519557058811188	0.53231055	Yes	
row_25	APOBEC3F	2571	0.44004738330841064	0.5380906	Yes	
row_26	OAS1	2572	0.4399574100971222	0.5479847	Yes	
row_27	TRIM13	2743	0.41292452812194824	0.54477555	Yes	
row_28	FAM111A	2755	0.411513090133667	0.5532215	Yes	
row_29	STAT1	3058	0.3656936287879944	0.5392478	No	
row_30	TRIM6	3085	0.36104661226272583	0.5454563	No	
row_31	RESF1	3091	0.36013853549957275	0.5531879	No	
row_32	ZC3HAV1	3367	0.32318592071533203	0.54024285	No	
row_33	PTX3	3655	0.2841089069843292	0.52553695	No	
row_34	CIITA	3861	0.2596288025379181	0.5163078	No	
row_35	INPP5K	4221	0.2226489782333374	0.49492753	No	
row_36	SRPK2	4631	0.17462924122810364	0.4687923	No	
row_37	TRIM27	4964	0.1419467329978943	0.4475817	No	
row_38	MORC2	5560	0.08541303873062134	0.40576863	No	
row_39	IFITM3	5576	0.08436118811368942	0.40656328	No	
row_40	ILF3	6204	0.036184344440698624	0.36129105	No	
row_41	UBP1	6581	0.007347286678850651	0.3338194	No	
row_42	TNIP1	6675	0.003310542553663254	0.3270581	No	
row_43	ZFP36	7138	-0.033064551651477814	0.2938436	No	
row_44	HMGA2	7211	-0.038983821868896484	0.2894281	No	
row_45	TRIM11	7456	-0.05714787542819977	0.27277872	No	
row_46	PARP10	7473	-0.05832129344344139	0.27291426	No	
row_47	GSN	7628	-0.07035744190216064	0.26317716	No	
row_48	ZNFX1	7753	-0.08067385107278824	0.25587714	No	
row_49	OASL	8068	-0.10667598992586136	0.23519641	No	
row_50	HEXIM1	8146	-0.11415919661521912	0.23210405	No	
row_51	TRIM32	8156	-0.11498037725687027	0.23402831	No	
row_52	TRIM21	8400	-0.1353718787431717	0.2192116	No	
row_53	SHFL	8533	-0.14804084599018097	0.21283856	No	
row_54	TRIM62	8553	-0.15024572610855103	0.21482088	No	
row_55	SETDB1	8787	-0.174052432179451	0.20160906	No	
row_56	PPIA	8903	-0.18732795119285583	0.19736908	No	
row_57	TRIM31	8932	-0.18939615786075592	0.19957034	No	
row_58	TRIM26	9243	-0.22251956164836884	0.18178882	No	
row_59	CCL5	10018	-0.32046762108802795	0.13210493	No	
row_60	APOBEC3G	10496	-0.38521748781204224	0.105707414	No	
row_61	BANF1	11189	-0.5063539147377014	0.06623111	No	
row_62	TRIM14	11229	-0.5124462246894836	0.07488887	No	
row_63	SRPK1	11670	-0.6055091023445129	0.05616506	No	
row_64	SNX3	11933	-0.6679997444152832	0.051930014	No	
row_65	MPHOSPH8	12016	-0.6910433769226074	0.061443627	No	
row_66	MID2	12507	-0.8549544811248779	0.044654448	No	
row_67	SLPI	12529	-0.8633093237876892	0.06252578	No	
row_68	TASOR	12746	-0.9554667472839355	0.06813666	No	
