NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL10A	132	1.5730088949203491	0.010717868	No	
row_1	RPL39L	840	0.9134436249732971	-0.029468812	No	
row_2	RPL12	1605	0.6437645554542542	-0.07735591	No	
row_3	RPS8	1843	0.5904987454414368	-0.08713368	No	
row_4	RPL27	2236	0.5004439949989319	-0.10949361	No	
row_5	RPS25	2773	0.4084470570087433	-0.14365104	No	
row_6	RPL8	2804	0.4030335247516632	-0.14062361	No	
row_7	RPS11	2900	0.3868279457092285	-0.14259247	No	
row_8	RPL23	3323	0.3290828466415405	-0.16938755	No	
row_9	RPL5	4130	0.2303551286458969	-0.22573802	No	
row_10	RPL4	4202	0.22397051751613617	-0.22805569	No	
row_11	UBA52	4818	0.1540825515985489	-0.27133435	No	
row_12	GSPT2	5230	0.11581003665924072	-0.30009037	No	
row_13	NCBP2	5542	0.08767585456371307	-0.32184923	No	
row_14	RPS24	5792	0.06808315217494965	-0.3392978	No	
row_15	RPL38	6287	0.028428571298718452	-0.3753001	No	
row_16	RPS6	6372	0.019158894196152687	-0.38123587	No	
row_17	EIF4G1	6461	0.01277513150125742	-0.38754904	No	
row_18	ETF1	7464	-0.05772397667169571	-0.4605732	No	
row_19	GSPT1	7813	-0.08515467494726181	-0.485089	No	
row_20	RPS16	8012	-0.10227445513010025	-0.49833837	No	
row_21	RPS10	8174	-0.1160307452082634	-0.5086848	No	
row_22	RPL35A	8889	-0.1863023191690445	-0.55883396	No	
row_23	RPL41	9062	-0.20348773896694183	-0.56885403	No	
row_24	RPS3	9069	-0.2040742039680481	-0.56664443	No	
row_25	RPL35	9784	-0.290912926197052	-0.61543447	No	
row_26	RPL27A	9878	-0.3038453161716461	-0.6183342	No	
row_27	RPL13	9968	-0.31434160470962524	-0.62080306	No	
row_28	RPL34	10212	-0.34599635004997253	-0.6341992	No	
row_29	RPL13A	10327	-0.36185699701309204	-0.63789135	No	
row_30	RPL22	10401	-0.3721303343772888	-0.6384314	No	
row_31	RPL24	10463	-0.3802189230918884	-0.6379828	No	
row_32	RPL22L1	10476	-0.38251498341560364	-0.63389665	No	
row_33	RPS27	10586	-0.40079015493392944	-0.63671494	No	
row_34	RPL26L1	10671	-0.41555848717689514	-0.63750064	No	
row_35	RPS2	10678	-0.4165341556072235	-0.63253075	No	
row_36	RPL7A	10712	-0.4204258918762207	-0.62949824	No	
row_37	UPF1	10796	-0.43284890055656433	-0.6299857	No	
row_38	NCBP1	10961	-0.4608863592147827	-0.63607264	No	
row_39	RPS7	11336	-0.5374475121498108	-0.6566265	Yes	
row_40	RPS21	11338	-0.5378749966621399	-0.649712	Yes	
row_41	RPL36AL	11460	-0.5597624778747559	-0.6513484	Yes	
row_42	RPS23	11565	-0.5834056735038757	-0.65142596	Yes	
row_43	RPS20	11729	-0.6179785132408142	-0.65539837	Yes	
row_44	RPL10	11766	-0.6280835866928101	-0.6498888	Yes	
row_45	RPL6	11782	-0.6300248503684998	-0.6428079	Yes	
row_46	RPS12	11844	-0.6432996392250061	-0.63894135	Yes	
row_47	RPSA	11845	-0.6432996988296509	-0.6305836	Yes	
row_48	RPL18A	11931	-0.6672465801239014	-0.628173	Yes	
row_49	RPL32	12127	-0.7255398631095886	-0.63310397	Yes	
row_50	RPLP2	12305	-0.7783733010292053	-0.6360232	Yes	
row_51	RPL3	12333	-0.7919432520866394	-0.6277222	Yes	
row_52	RPL30	12378	-0.8098337054252625	-0.62044036	Yes	
row_53	RPL23A	12382	-0.8110140562057495	-0.6101245	Yes	
row_54	RPS28	12386	-0.8128687143325806	-0.59978455	Yes	
row_55	RPL28	12612	-0.8952311277389526	-0.6047197	Yes	
row_56	RPL17	12705	-0.9333198070526123	-0.5993677	Yes	
row_57	RPL37A	12784	-0.9719826579093933	-0.5924825	Yes	
