NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF2AK2	15	2.6268818378448486	0.14146768	Yes	
row_1	ISG15	81	1.7975640296936035	0.23425937	Yes	
row_2	PABPN1	241	1.3834161758422852	0.29768065	Yes	
row_3	KPNA1	290	1.3207992315292358	0.36584377	Yes	
row_4	POM121C	391	1.2247400283813477	0.42498007	Yes	
row_5	NUP50	884	0.8954784870147705	0.43749905	Yes	
row_6	NUP54	903	0.8857731223106384	0.4842522	Yes	
row_7	KPNB1	953	0.8652337789535522	0.5276173	Yes	
row_8	NUP155	1125	0.7975773811340332	0.55836356	Yes	
row_9	NUP35	1145	0.7895911931991577	0.59982336	Yes	
row_10	NUP62	2975	0.3763585090637207	0.48611906	No	
row_11	POM121	2989	0.3740940988063812	0.5054688	No	
row_12	KPNA4	3044	0.3669794201850891	0.5214256	No	
row_13	NDC1	3350	0.32592839002609253	0.5167473	No	
row_14	NUP188	3794	0.2676646113395691	0.49878663	No	
row_15	KPNA2	4125	0.23087447881698608	0.48711616	No	
row_16	KPNA7	4391	0.2019466757774353	0.47864246	No	
row_17	AAAS	4876	0.14843051135540009	0.4512039	No	
row_18	NUP107	5079	0.1320074498653412	0.44355458	No	
row_19	NUP93	5154	0.12399005144834518	0.44485703	No	
row_20	CPSF4	5331	0.10683610290288925	0.43774828	No	
row_21	NUP42	5381	0.10313425213098526	0.43975222	No	
row_22	NUP160	5398	0.10167782008647919	0.44409716	No	
row_23	RANBP2	6116	0.04354134202003479	0.39387888	No	
row_24	NUP43	6835	-0.006815115921199322	0.341594	No	
row_25	NUP37	6982	-0.020051486790180206	0.3319753	No	
row_26	NUP88	7075	-0.027937594801187515	0.3267447	No	
row_27	RAE1	7210	-0.038968775421381	0.31903273	No	
row_28	KPNA3	7747	-0.08038703352212906	0.2840878	No	
row_29	NUP205	7933	-0.09542466700077057	0.27569973	No	
row_30	NUP153	8000	-0.1014411598443985	0.27636507	No	
row_31	TPR	8062	-0.10592301189899445	0.27764034	No	
row_32	SEC13	9393	-0.2396155148744583	0.19310898	No	
row_33	KPNA5	10050	-0.325106680393219	0.16264541	No	
row_34	NUP214	10624	-0.40726637840270996	0.1427277	No	
row_35	NUP210	10988	-0.46681836247444153	0.14144243	No	
row_36	NUP133	11010	-0.4728822708129883	0.16556695	No	
row_37	NUP85	11374	-0.5463444590568542	0.16859777	No	
