NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCC3	570	1.057949423789978	-0.028636944	No	
row_1	C2orf69	846	0.9105557203292847	-0.037400626	No	
row_2	MT-ATP8	2003	0.553031861782074	-0.115586855	No	
row_3	MT-ND6	2138	0.5236268043518066	-0.118847825	No	
row_4	NDUFS2	2369	0.47393059730529785	-0.12980914	No	
row_5	CYCS	2663	0.42472365498542786	-0.14603335	No	
row_6	NDUFS8	2750	0.4122324287891388	-0.1471644	No	
row_7	SDHC	2835	0.39765363931655884	-0.1483322	No	
row_8	NDUFV3	3023	0.36937007308006287	-0.1574457	No	
row_9	COA6	3072	0.3631051182746887	-0.15639739	No	
row_10	NDUFAF1	3241	0.3402128219604492	-0.1644792	No	
row_11	SDHAF2	3373	0.32255247235298157	-0.17005801	No	
row_12	TEFM	3848	0.26154422760009766	-0.20167789	No	
row_13	MT-ND4L	4690	0.16801615059375763	-0.26151767	No	
row_14	CYC1	5110	0.12897096574306488	-0.29075933	No	
row_15	COX8A	6084	0.046129487454891205	-0.36186332	No	
row_16	NDUFS3	6220	0.0346207469701767	-0.3713724	No	
row_17	NDUFS6	6767	-0.0019736140966415405	-0.4115744	No	
row_18	NDUFS7	6787	-0.0033299915958195925	-0.4129322	No	
row_19	COX5A	6807	-0.004940347280353308	-0.41426966	No	
row_20	MT-ND2	7070	-0.027573974803090096	-0.4332245	No	
row_21	MT-CO1	7143	-0.033348966389894485	-0.4381081	No	
row_22	NDUFC2	7664	-0.0735655128955841	-0.47549057	No	
row_23	MT-CO3	8030	-0.10346442461013794	-0.5010758	No	
row_24	COX15	8071	-0.10698800534009933	-0.50267196	No	
row_25	MT-CO2	8254	-0.12321575731039047	-0.5145251	No	
row_26	ATP5PF	8345	-0.13020583987236023	-0.5195119	No	
row_27	NDUFV1	8696	-0.1658245027065277	-0.5432046	No	
row_28	AFG1L	8697	-0.16588397324085236	-0.54111004	No	
row_29	NDUFA2	8755	-0.170172318816185	-0.5431609	No	
row_30	MT-ND5	8764	-0.17090903222560883	-0.5415923	No	
row_31	STOML2	9250	-0.2231919765472412	-0.5745069	No	
row_32	TAFAZZIN	9839	-0.2989199459552765	-0.61405385	No	
row_33	ATP5F1A	9922	-0.30851492285728455	-0.6161998	No	
row_34	MT-ATP6	9967	-0.31430596113204956	-0.615473	No	
row_35	NDUFB3	9994	-0.3175901174545288	-0.61337847	No	
row_36	UQCRC1	10171	-0.3396632671356201	-0.62205666	No	
row_37	NDUFA10	10406	-0.37281620502471924	-0.6345894	No	
row_38	NIPSNAP2	10466	-0.38100481033325195	-0.6341255	No	
row_39	NDUFB9	10559	-0.39579570293426514	-0.63590616	No	
row_40	COX4I1	10589	-0.4016340970993042	-0.6329715	No	
row_41	MT-ND4	10603	-0.4041005074977875	-0.6288269	No	
row_42	NDUFS1	10657	-0.41281017661094666	-0.62751937	No	
row_43	UQCRHL	10679	-0.4166224002838135	-0.6238061	No	
row_44	ATP5F1D	10717	-0.42090845108032227	-0.6212175	No	
row_45	COX7B	10874	-0.4443676769733429	-0.6271001	No	
row_46	MT-ND1	10940	-0.45646122097969055	-0.6261255	No	
row_47	NDUFA11	11042	-0.4788883328437805	-0.6275201	No	
row_48	UQCRC2	11105	-0.48982709646224976	-0.6259032	No	
row_49	NDUFA9	11133	-0.49593231081962585	-0.62163055	No	
row_50	ATP5MF	11188	-0.5062839984893799	-0.61921644	No	
row_51	ATP5F1E	11337	-0.5375655889511108	-0.62333286	No	
row_52	ATP5F1B	11349	-0.5406927466392517	-0.61731625	No	
row_53	NDUFC1	11803	-0.6340871453285217	-0.642685	No	
row_54	UQCRQ	11945	-0.6713986992835999	-0.64459586	Yes	
row_55	NDUFV2	12044	-0.7014801502227783	-0.6429588	Yes	
row_56	NDUFB11	12153	-0.735194742679596	-0.6416329	Yes	
row_57	NDUFB7	12218	-0.7513547539710999	-0.63686115	Yes	
row_58	ATP5PD	12241	-0.7573438882827759	-0.6289194	Yes	
row_59	MT-CYB	12340	-0.7937132716178894	-0.6261178	Yes	
row_60	CHCHD10	12357	-0.8019899129867554	-0.61717033	Yes	
row_61	NDUFA8	12415	-0.8235515356063843	-0.6109713	Yes	
row_62	SDHA	12480	-0.846764862537384	-0.60499483	Yes	
row_63	COX6A1	12493	-0.8499431014060974	-0.59514713	Yes	
row_64	COX7A2	12547	-0.868537425994873	-0.58808535	Yes	
row_65	SLC25A51	12627	-0.9006447196006775	-0.5825338	Yes	
row_66	SDHB	12696	-0.9279624223709106	-0.57582676	Yes	
row_67	NDUFAB1	12793	-0.9753090143203735	-0.5705849	Yes	
row_68	ATP5ME	12821	-0.9882935881614685	-0.5600955	Yes	
row_69	NDUFA3	12840	-0.9987074732780457	-0.54881144	Yes	
row_70	ATP5PB	12867	-1.0146276950836182	-0.5379158	Yes	
row_71	NDUFB5	12958	-1.0686440467834473	-0.5310534	Yes	
row_72	SDHD	12962	-1.0704628229141235	-0.51775825	Yes	
row_73	UQCR11	13080	-1.1519628763198853	-0.5118331	Yes	
row_74	COX6B1	13097	-1.1648272275924683	-0.49830416	Yes	
row_75	NDUFB4	13103	-1.1697803735733032	-0.48390234	Yes	
row_76	NDUFS4	13134	-1.1919666528701782	-0.47106224	Yes	
row_77	UQCRH	13137	-1.1930246353149414	-0.45614585	Yes	
row_78	NDUFA5	13146	-1.201181173324585	-0.44156855	Yes	
row_79	NDUFA6	13155	-1.2107065916061401	-0.42687097	Yes	
row_80	NDUFB1	13202	-1.25712251663208	-0.41438702	Yes	
row_81	NDUFB8	13210	-1.2610019445419312	-0.3989807	Yes	
row_82	ATP5PO	13239	-1.2946336269378662	-0.38469693	Yes	
row_83	NDUFA13	13262	-1.3259402513504028	-0.36957583	Yes	
row_84	NDUFB6	13274	-1.344009518623352	-0.35341612	Yes	
row_85	NDUFA7	13279	-1.3461875915527344	-0.3367132	Yes	
row_86	NDUFS5	13282	-1.3494203090667725	-0.3198221	Yes	
row_87	NDUFA12	13355	-1.4363946914672852	-0.30699012	Yes	
row_88	UQCRB	13379	-1.476861596107483	-0.29003707	Yes	
row_89	NDUFB2	13381	-1.4792155027389526	-0.27143344	Yes	
row_90	ATP5MG	13438	-1.556767463684082	-0.25590277	Yes	
row_91	ATP5F1C	13573	-1.9508099555969238	-0.2411434	Yes	
row_92	COX7C	13579	-1.9692124128341675	-0.21664754	Yes	
row_93	UQCRFS1	13585	-2.0090081691741943	-0.19164918	Yes	
row_94	UQCR10	13595	-2.0733797550201416	-0.16613275	Yes	
row_95	COX5B	13601	-2.105435371398926	-0.13991685	Yes	
row_96	NDUFA1	13607	-2.1444315910339355	-0.11320858	Yes	
row_97	NDUFA4	13612	-2.1684153079986572	-0.086123794	Yes	
row_98	MT-ND3	13616	-2.1806890964508057	-0.058810357	Yes	
row_99	NDUFB10	13630	-2.326066493988037	-0.030398075	Yes	
row_100	COX6C	13656	-2.6525847911834717	0.0012528823	Yes	
