NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT-ATP8	2003	0.553031861782074	-0.1374627	No	
row_1	MT-ND6	2138	0.5236268043518066	-0.138059	No	
row_2	NDUFS2	2369	0.47393059730529785	-0.1465903	No	
row_3	NDUFS8	2750	0.4122324287891388	-0.16723813	No	
row_4	SDHC	2835	0.39765363931655884	-0.1663853	No	
row_5	NDUFV3	3023	0.36937007308006287	-0.1736036	No	
row_6	MT-ND4L	4690	0.16801615059375763	-0.29309833	No	
row_7	VPS9D1	5693	0.07485628873109818	-0.36543024	No	
row_8	NDUFS3	6220	0.0346207469701767	-0.4034835	No	
row_9	NDUFS6	6767	-0.0019736140966415405	-0.4435839	No	
row_10	NDUFS7	6787	-0.0033299915958195925	-0.4449217	No	
row_11	MT-ND2	7070	-0.027573974803090096	-0.4651636	No	
row_12	NDUFC2	7664	-0.0735655128955841	-0.5074536	No	
row_13	ATP5PF	8345	-0.13020583987236023	-0.5551379	No	
row_14	NDUFV1	8696	-0.1658245027065277	-0.5779351	No	
row_15	NDUFA2	8755	-0.170172318816185	-0.5791912	No	
row_16	MT-ND5	8764	-0.17090903222560883	-0.57675886	No	
row_17	STOML2	9250	-0.2231919765472412	-0.60846585	No	
row_18	ATP5F1A	9922	-0.30851492285728455	-0.6523374	No	
row_19	MT-ATP6	9967	-0.31430596113204956	-0.65001714	No	
row_20	NDUFB3	9994	-0.3175901174545288	-0.64631575	No	
row_21	NDUFA10	10406	-0.37281620502471924	-0.6699389	No	
row_22	NDUFB9	10559	-0.39579570293426514	-0.67411745	Yes	
row_23	MT-ND4	10603	-0.4041005074977875	-0.67013687	Yes	
row_24	NDUFS1	10657	-0.41281017661094666	-0.66673744	Yes	
row_25	ATP5F1D	10717	-0.42090845108032227	-0.6636359	Yes	
row_26	ATP5MGL	10766	-0.42845597863197327	-0.65959245	Yes	
row_27	MT-ND1	10940	-0.45646122097969055	-0.66424257	Yes	
row_28	NDUFA11	11042	-0.4788883328437805	-0.6632037	Yes	
row_29	NDUFA9	11133	-0.49593231081962585	-0.6610551	Yes	
row_30	ATP5MF	11188	-0.5062839984893799	-0.65607727	Yes	
row_31	ATP5F1E	11337	-0.5375655889511108	-0.65745634	Yes	
row_32	ATP5F1B	11349	-0.5406927466392517	-0.6487096	Yes	
row_33	NDUFC1	11803	-0.6340871453285217	-0.6708028	Yes	
row_34	ATP5MC2	11898	-0.658547043800354	-0.6660744	Yes	
row_35	NDUFV2	12044	-0.7014801502227783	-0.6643362	Yes	
row_36	NDUFB11	12153	-0.735194742679596	-0.6592824	Yes	
row_37	NDUFB7	12218	-0.7513547539710999	-0.6507087	Yes	
row_38	ATP5PD	12241	-0.7573438882827759	-0.63894176	Yes	
row_39	NDUFA8	12415	-0.8235515356063843	-0.63710445	Yes	
row_40	SDHA	12480	-0.846764862537384	-0.6268446	Yes	
row_41	SDHB	12696	-0.9279624223709106	-0.62624943	Yes	
row_42	NDUFAB1	12793	-0.9753090143203735	-0.61607015	Yes	
row_43	ATP5ME	12821	-0.9882935881614685	-0.60058933	Yes	
row_44	NDUFA3	12840	-0.9987074732780457	-0.5842629	Yes	
row_45	ATP5PB	12867	-1.0146276950836182	-0.5682432	Yes	
row_46	NDUFB5	12958	-1.0686440467834473	-0.5559734	Yes	
row_47	SDHD	12962	-1.0704628229141235	-0.53727627	Yes	
row_48	NDUFB4	13103	-1.1697803735733032	-0.52689457	Yes	
row_49	NDUFS4	13134	-1.1919666528701782	-0.5080349	Yes	
row_50	NDUFA5	13146	-1.201181173324585	-0.48761573	Yes	
row_51	NDUFA6	13155	-1.2107065916061401	-0.4668077	Yes	
row_52	NDUFB1	13202	-1.25712251663208	-0.44797269	Yes	
row_53	NDUFB8	13210	-1.2610019445419312	-0.4262023	Yes	
row_54	ATP5PO	13239	-1.2946336269378662	-0.40538123	Yes	
row_55	NDUFA13	13262	-1.3259402513504028	-0.38356587	Yes	
row_56	NDUFB6	13274	-1.344009518623352	-0.36062258	Yes	
row_57	NDUFA7	13279	-1.3461875915527344	-0.33712626	Yes	
row_58	NDUFS5	13282	-1.3494203090667725	-0.31342578	Yes	
row_59	NDUFA12	13355	-1.4363946914672852	-0.2933338	Yes	
row_60	NDUFB2	13381	-1.4792155027389526	-0.2690302	Yes	
row_61	ATP5MC1	13388	-1.4938687086105347	-0.243071	Yes	
row_62	ATP5MJ	13396	-1.5068279504776	-0.2169563	Yes	
row_63	ATP5MG	13438	-1.556767463684082	-0.1924583	Yes	
row_64	ATP5MK	13453	-1.5935380458831787	-0.16532578	Yes	
row_65	ATP5MC3	13485	-1.6473159790039062	-0.1384925	Yes	
row_66	ATP5F1C	13573	-1.9508099555969238	-0.11041218	Yes	
row_67	NDUFA1	13607	-2.1444315910339355	-0.07494069	Yes	
row_68	MT-ND3	13616	-2.1806890964508057	-0.036990743	Yes	
row_69	NDUFB10	13630	-2.326066493988037	0.0031608294	Yes	
