NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT-ATP8	2003	0.553031861782074	-0.13806954	No	
row_1	MT-ND6	2138	0.5236268043518066	-0.13916418	No	
row_2	NDUFS2	2369	0.47393059730529785	-0.14815122	No	
row_3	NDUFS8	2750	0.4122324287891388	-0.16920324	No	
row_4	SDHC	2835	0.39765363931655884	-0.16872808	No	
row_5	NDUFV3	3023	0.36937007308006287	-0.17630191	No	
row_6	IMPDH1	3648	0.2851460576057434	-0.21742676	No	
row_7	PRKAG2	4114	0.23258012533187866	-0.24773651	No	
row_8	ALDOA	4306	0.21157169342041016	-0.2582448	No	
row_9	MT-ND4L	4690	0.16801615059375763	-0.28360364	No	
row_10	TGFB1	5104	0.1293860524892807	-0.31181538	No	
row_11	VPS9D1	5693	0.07485628873109818	-0.3538109	No	
row_12	NDUFS3	6220	0.0346207469701767	-0.3919195	No	
row_13	NDUFS6	6767	-0.0019736140966415405	-0.43204534	No	
row_14	NDUFS7	6787	-0.0033299915958195925	-0.4333871	No	
row_15	MT-ND2	7070	-0.027573974803090096	-0.45366713	No	
row_16	NDUFC2	7664	-0.0735655128955841	-0.49605203	No	
row_17	ATP5PF	8345	-0.13020583987236023	-0.54388815	No	
row_18	NDUFV1	8696	-0.1658245027065277	-0.5668565	No	
row_19	NDUFA2	8755	-0.170172318816185	-0.56827515	No	
row_20	MT-ND5	8764	-0.17090903222560883	-0.566004	No	
row_21	NUDT2	9039	-0.20195573568344116	-0.58277786	No	
row_22	STOML2	9250	-0.2231919765472412	-0.5944892	No	
row_23	ATP5F1A	9922	-0.30851492285728455	-0.6386799	No	
row_24	MT-ATP6	9967	-0.31430596113204956	-0.6366573	No	
row_25	NDUFB3	9994	-0.3175901174545288	-0.6332558	No	
row_26	NDUFA10	10406	-0.37281620502471924	-0.65724736	No	
row_27	SLC25A13	10533	-0.39058902859687805	-0.6599796	Yes	
row_28	NDUFB9	10559	-0.39579570293426514	-0.65519595	Yes	
row_29	MT-ND4	10603	-0.4041005074977875	-0.6515974	Yes	
row_30	NDUFS1	10657	-0.41281017661094666	-0.64858854	Yes	
row_31	ATP5F1D	10717	-0.42090845108032227	-0.64588547	Yes	
row_32	ATP5MGL	10766	-0.42845597863197327	-0.6422471	Yes	
row_33	MT-ND1	10940	-0.45646122097969055	-0.64733404	Yes	
row_34	NDUFA11	11042	-0.4788883328437805	-0.64675003	Yes	
row_35	NDUFA9	11133	-0.49593231081962585	-0.6450718	Yes	
row_36	ATP5MF	11188	-0.5062839984893799	-0.64057255	Yes	
row_37	ATP5F1E	11337	-0.5375655889511108	-0.6424637	Yes	
row_38	ATP5F1B	11349	-0.5406927466392517	-0.63422596	Yes	
row_39	NDUFC1	11803	-0.6340871453285217	-0.6569352	Yes	
row_40	ATP5MC2	11898	-0.658547043800354	-0.6528303	Yes	
row_41	NDUFV2	12044	-0.7014801502227783	-0.65175825	Yes	
row_42	NDUFB11	12153	-0.735194742679596	-0.6474006	Yes	
row_43	NDUFB7	12218	-0.7513547539710999	-0.6395364	Yes	
row_44	ATP5PD	12241	-0.7573438882827759	-0.6284828	Yes	
row_45	IMPDH2	12403	-0.8197600841522217	-0.6266085	Yes	
row_46	NDUFA8	12415	-0.8235515356063843	-0.6136381	Yes	
row_47	SDHA	12480	-0.846764862537384	-0.6041775	Yes	
row_48	AK9	12654	-0.9101274609565735	-0.6016737	Yes	
row_49	SDHB	12696	-0.9279624223709106	-0.5891629	Yes	
row_50	NDUFAB1	12793	-0.9753090143203735	-0.57990515	Yes	
row_51	ATP5ME	12821	-0.9882935881614685	-0.5653551	Yes	
row_52	NDUFA3	12840	-0.9987074732780457	-0.5499689	Yes	
row_53	ATP5PB	12867	-1.0146276950836182	-0.5349047	Yes	
row_54	NDUFB5	12958	-1.0686440467834473	-0.523644	Yes	
row_55	SDHD	12962	-1.0704628229141235	-0.5059539	Yes	
row_56	NDUFB4	13103	-1.1697803735733032	-0.49667853	Yes	
row_57	NDUFS4	13134	-1.1919666528701782	-0.47894135	Yes	
row_58	NDUFA5	13146	-1.201181173324585	-0.4596525	Yes	
row_59	NDUFA6	13155	-1.2107065916061401	-0.43998367	Yes	
row_60	NDUFB1	13202	-1.25712251663208	-0.42233312	Yes	
row_61	NDUFB8	13210	-1.2610019445419312	-0.4017492	Yes	
row_62	ATP5PO	13239	-1.2946336269378662	-0.3821471	Yes	
row_63	NDUFA13	13262	-1.3259402513504028	-0.3615799	Yes	
row_64	NDUFB6	13274	-1.344009518623352	-0.33990127	Yes	
row_65	NDUFA7	13279	-1.3461875915527344	-0.3176714	Yes	
row_66	NDUFS5	13282	-1.3494203090667725	-0.29524028	Yes	
row_67	NDUFA12	13355	-1.4363946914672852	-0.27650255	Yes	
row_68	NDUFB2	13381	-1.4792155027389526	-0.25359142	Yes	
row_69	ATP5MC1	13388	-1.4938687086105347	-0.22903764	Yes	
row_70	ATP5MJ	13396	-1.5068279504776	-0.2043406	Yes	
row_71	ATP5MG	13438	-1.556767463684082	-0.18130872	Yes	
row_72	ATP5MK	13453	-1.5935380458831787	-0.15567571	Yes	
row_73	ATP5MC3	13485	-1.6473159790039062	-0.13039328	Yes	
row_74	ATP5F1C	13573	-1.9508099555969238	-0.10415171	Yes	
row_75	NDUFA1	13607	-2.1444315910339355	-0.07069875	Yes	
row_76	MT-ND3	13616	-2.1806890964508057	-0.03480037	Yes	
row_77	NDUFB10	13630	-2.326066493988037	0.0031626858	Yes	
