NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFIT5	3	3.2034339904785156	0.06141112	Yes	
row_1	MX1	6	2.902200222015381	0.117100246	Yes	
row_2	EIF2AK2	15	2.6268818378448486	0.16705135	Yes	
row_3	IFIT1	24	2.4777567386627197	0.21413338	Yes	
row_4	ADARB1	25	2.457217216491699	0.26140842	Yes	
row_5	RSAD2	35	2.173553705215454	0.3025643	Yes	
row_6	IFITM1	40	2.07757830619812	0.34224126	Yes	
row_7	ISG15	81	1.7975640296936035	0.37388432	Yes	
row_8	OAS2	163	1.514277696609497	0.39706287	Yes	
row_9	PDE12	330	1.2884306907653809	0.40964723	Yes	
row_10	IFITM2	379	1.234442949295044	0.4298681	Yes	
row_11	TNF	394	1.2238147258758545	0.4523841	Yes	
row_12	ISG20	613	1.0258421897888184	0.45609352	Yes	
row_13	APOBEC3B	686	0.9899182319641113	0.46984544	Yes	
row_14	IFIH1	772	0.9442739486694336	0.4817635	Yes	
row_15	RNASEL	816	0.9205294847488403	0.4963125	Yes	
row_16	PLSCR1	856	0.9054085612297058	0.5108647	Yes	
row_17	DDX3X	865	0.9017190337181091	0.5276249	Yes	
row_18	N4BP1	965	0.8602092862129211	0.53689635	Yes	
row_19	STAU1	1141	0.7903972268104553	0.53923726	Yes	
row_20	RAD23A	1160	0.7859084010124207	0.5530342	Yes	
row_21	BST2	1234	0.757101833820343	0.56223345	Yes	
row_22	OAS3	1524	0.665909469127655	0.55379814	No	
row_23	APOBEC3C	1972	0.5584008693695068	0.53167856	No	
row_24	APOBEC3D	2175	0.5139032602310181	0.5267149	No	
row_25	APOBEC3A	2277	0.4916556775569916	0.52874863	No	
row_26	MAVS	2390	0.4700865149497986	0.52955866	No	
row_27	TMEM39A	2497	0.45424675941467285	0.53050506	No	
row_28	IFI16	2514	0.4519557058811188	0.53802407	No	
row_29	APOBEC3F	2571	0.44004738330841064	0.5423732	No	
row_30	OAS1	2572	0.4399574100971222	0.55083764	No	
row_31	FAM111A	2755	0.411513090133667	0.54537445	No	
row_32	TOP2A	3001	0.3721875250339508	0.534523	No	
row_33	TRIM6	3085	0.36104661226272583	0.53536725	No	
row_34	RESF1	3091	0.36013853549957275	0.5419284	No	
row_35	LARP1	3287	0.3338474929332733	0.5340153	No	
row_36	ZC3HAV1	3367	0.32318592071533203	0.5344252	No	
row_37	HACD3	3631	0.2880796790122986	0.5206322	No	
row_38	INPP5K	4221	0.2226489782333374	0.48161337	No	
row_39	VAPB	4426	0.19784457981586456	0.47042197	No	
row_40	SRPK2	4631	0.17462924122810364	0.4587839	No	
row_41	PPIH	5329	0.10695123672485352	0.4095991	No	
row_42	PKN2	5346	0.10556028038263321	0.4104537	No	
row_43	CNOT7	5472	0.09433109313249588	0.40307873	No	
row_44	MORC2	5560	0.08541303873062134	0.3983259	No	
row_45	IFITM3	5576	0.08436118811368942	0.39884618	No	
row_46	CXCL8	6059	0.04814181476831436	0.36433643	No	
row_47	GBP7	6174	0.03893116116523743	0.3567043	No	
row_48	ILF3	6204	0.036184344440698624	0.35526842	No	
row_49	TNIP1	6675	0.003310542553663254	0.32077837	No	
row_50	HMGA2	7211	-0.038983821868896484	0.28219596	No	
row_51	PARP10	7473	-0.05832129344344139	0.26412967	No	
row_52	ZNFX1	7753	-0.08067385107278824	0.24517007	No	
row_53	OASL	8068	-0.10667598992586136	0.2241376	No	
row_54	SHFL	8533	-0.14804084599018097	0.19287317	No	
row_55	SETDB1	8787	-0.174052432179451	0.1776216	No	
row_56	PPIA	8903	-0.18732795119285583	0.172771	No	
row_57	DDB1	9004	-0.1984296292066574	0.16923678	No	
row_58	PPID	9309	-0.22919900715351105	0.15129675	No	
row_59	CCL5	10018	-0.32046762108802795	0.10541114	No	
row_60	ADAR	10110	-0.332060307264328	0.10510954	No	
row_61	APOBEC3G	10496	-0.38521748781204224	0.08421618	No	
row_62	BANF1	11189	-0.5063539147377014	0.04308318	No	
row_63	TOP2B	11273	-0.522621750831604	0.04703599	No	
row_64	SRPK1	11670	-0.6055091023445129	0.029572167	No	
row_65	TARBP2	11860	-0.647655189037323	0.028137555	No	
row_66	MPHOSPH8	12016	-0.6910433769226074	0.03003733	No	
row_67	PPARA	12316	-0.7841090559959412	0.023140943	No	
row_68	SLPI	12529	-0.8633093237876892	0.024164427	No	
row_69	TASOR	12746	-0.9554667472839355	0.026666878	No	
row_70	PABPC1	12920	-1.0433859825134277	0.034022126	No	
row_71	PPIE	13008	-1.1052265167236328	0.048889745	No	
