NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NBN	18	2.5745625495910645	0.10084146	Yes	
row_1	ATR	107	1.683885931968689	0.16120437	Yes	
row_2	RAD50	117	1.6327543258666992	0.22533391	Yes	
row_3	RFWD3	319	1.2967686653137207	0.2620456	Yes	
row_4	SAMHD1	472	1.128713607788086	0.29568335	Yes	
row_5	SMARCAL1	507	1.1007355451583862	0.33686766	Yes	
row_6	RAD51	838	0.9138126969337463	0.34891942	Yes	
row_7	TONSL	1158	0.786510169506073	0.35672662	Yes	
row_8	FANCM	1412	0.700103223323822	0.36594698	Yes	
row_9	THOC1	1443	0.6916611194610596	0.39119214	Yes	
row_10	MRE11	1542	0.6617169976234436	0.41026044	Yes	
row_11	CENPX	1607	0.6434059143066406	0.43109643	Yes	
row_12	BRCA1	1822	0.5951451659202576	0.43901306	Yes	
row_13	ALYREF	1831	0.5934295058250427	0.4619742	Yes	
row_14	BRCA2	1897	0.5753301978111267	0.4800355	Yes	
row_15	BARD1	1948	0.5627413392066956	0.49869773	Yes	
row_16	BOD1L1	2034	0.5466001033782959	0.51415175	Yes	
row_17	GEN1	2113	0.5287838578224182	0.5294123	Yes	
row_18	CENPS	2177	0.5137091875076294	0.54517514	Yes	
row_19	ETAA1	2184	0.512778639793396	0.56508267	Yes	
row_20	NUCKS1	2319	0.4819091558456421	0.5743749	Yes	
row_21	FAM111A	2755	0.411513090133667	0.55879176	No	
row_22	OOEP	3065	0.3642958402633667	0.5505786	No	
row_23	MMS22L	3242	0.3401852250099182	0.5511658	No	
row_24	EME2	3464	0.3103804290294647	0.5472691	No	
row_25	TRAIP	3634	0.2872476577758789	0.54626924	No	
row_26	SETMAR	4755	0.16061142086982727	0.47047687	No	
row_27	BLM	4881	0.14773954451084137	0.46716908	No	
row_28	PRIMPOL	5681	0.07547816634178162	0.41154775	No	
row_29	EME1	5915	0.05934547632932663	0.39680928	No	
row_30	ATRX	6198	0.03679816797375679	0.37758136	No	
row_31	MUS81	7612	-0.06927783787250519	0.27666962	No	
row_32	PCNA	8021	-0.10290154814720154	0.2508211	No	
row_33	DNA2	8116	-0.11129457503557205	0.24834137	No	
row_34	ZGRF1	8261	-0.12398112565279007	0.24269696	No	
row_35	CDK9	9094	-0.20650619268417358	0.18985404	No	
row_36	RBBP8	9496	-0.25073882937431335	0.17038545	No	
row_37	DDX11	9701	-0.2781647741794586	0.1664575	No	
row_38	ZRANB3	9852	-0.3005933165550232	0.16738111	No	
row_39	WRN	11597	-0.5893503427505493	0.062823646	No	
row_40	RTEL1	12017	-0.6917105913162231	0.059532862	No	
row_41	EXD2	12180	-0.7407459616661072	0.07704195	No	
row_42	FBH1	12397	-0.8168745040893555	0.09361036	No	
