NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL10A	132	1.5730088949203491	0.010507546	No	
row_1	RPL39L	840	0.9134436249732971	-0.029821781	No	
row_2	RPL12	1605	0.6437645554542542	-0.07781806	No	
row_3	RPS8	1843	0.5904987454414368	-0.08768089	No	
row_4	EIF2S1	2093	0.533185601234436	-0.09916474	No	
row_5	RPL27	2236	0.5004439949989319	-0.10318813	No	
row_6	TRIB3	2512	0.45254799723625183	-0.11762421	No	
row_7	RPS25	2773	0.4084470570087433	-0.13152258	No	
row_8	RPL8	2804	0.4030335247516632	-0.12854892	No	
row_9	RPS11	2900	0.3868279457092285	-0.13057154	No	
row_10	RPL23	3323	0.3290828466415405	-0.15742345	No	
row_11	ASNS	3525	0.30227264761924744	-0.16834143	No	
row_12	EIF2S3	3575	0.2951549291610718	-0.16815473	No	
row_13	RPL5	4130	0.2303551286458969	-0.20599943	No	
row_14	RPL4	4202	0.22397051751613617	-0.20834874	No	
row_15	UBA52	4818	0.1540825515985489	-0.25166762	No	
row_16	RPS24	5792	0.06808315217494965	-0.3224626	No	
row_17	EIF2S2	6085	0.04608235880732536	-0.34337845	No	
row_18	RPL38	6287	0.028428571298718452	-0.35781837	No	
row_19	RPS6	6372	0.019158894196152687	-0.36375937	No	
row_20	ATF2	7215	-0.03915980085730553	-0.42527694	No	
row_21	ATF3	7236	-0.040664125233888626	-0.42622715	No	
row_22	GCN1	7481	-0.05883125960826874	-0.44344342	No	
row_23	IMPACT	7668	-0.07393209636211395	-0.4561932	No	
row_24	CEBPG	7697	-0.07651357352733612	-0.45727164	No	
row_25	CEBPB	7949	-0.09747029095888138	-0.47450656	No	
row_26	RPS16	8012	-0.10227445513010025	-0.47775808	No	
row_27	ATF4	8108	-0.11043403297662735	-0.48333544	No	
row_28	RPS10	8174	-0.1160307452082634	-0.486631	No	
row_29	RPL35A	8889	-0.1863023191690445	-0.53682774	No	
row_30	RPL41	9062	-0.20348773896694183	-0.5468801	No	
row_31	RPS3	9069	-0.2040742039680481	-0.54469746	No	
row_32	RPL35	9784	-0.290912926197052	-0.59354883	No	
row_33	RPL27A	9878	-0.3038453161716461	-0.59649134	No	
row_34	RPL13	9968	-0.31434160470962524	-0.59900427	No	
row_35	EIF2AK4	10033	-0.3225962817668915	-0.59956956	No	
row_36	RPL34	10212	-0.34599635004997253	-0.608231	No	
row_37	RPL13A	10327	-0.36185699701309204	-0.61197436	No	
row_38	RPL22	10401	-0.3721303343772888	-0.61256546	No	
row_39	RPL24	10463	-0.3802189230918884	-0.61216867	No	
row_40	RPL22L1	10476	-0.38251498341560364	-0.608133	No	
row_41	RPS27	10586	-0.40079015493392944	-0.61100733	No	
row_42	RPL26L1	10671	-0.41555848717689514	-0.6118502	No	
row_43	RPS2	10678	-0.4165341556072235	-0.606935	No	
row_44	RPL7A	10712	-0.4204258918762207	-0.60395867	No	
