NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF2AK2	15	2.6268818378448486	0.18906002	Yes	
row_1	IFITM1	40	2.07757830619812	0.3376973	Yes	
row_2	MX2	45	2.011532783508301	0.483018	Yes	
row_3	PDE12	330	1.2884306907653809	0.5554915	Yes	
row_4	IFITM2	379	1.234442949295044	0.6413374	Yes	
row_5	LAMP3	706	0.9819889068603516	0.68855244	Yes	
row_6	KLHL20	1194	0.7727027535438538	0.7088285	Yes	
row_7	BST2	1234	0.757101833820343	0.760779	Yes	
row_8	RO60	5062	0.13338346779346466	0.49021193	No	
row_9	IFITM3	5576	0.08436118811368942	0.45875564	No	
row_10	GAS6	6075	0.046889059245586395	0.4256851	No	
row_11	IFNAR2	7602	-0.06842035055160522	0.31890044	No	
row_12	TPR	8062	-0.10592301189899445	0.292959	No	
row_13	IFNAR1	8576	-0.1526876986026764	0.2664488	No	
row_14	AXL	8880	-0.18510472774505615	0.257662	No	
row_15	ADAR	10110	-0.332060307264328	0.19170916	No	
row_16	GATA3	12742	-0.9546892642974854	0.06817007	No	
