NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MX1	6	2.902200222015381	0.13182265	Yes	
row_1	IFIT1	24	2.4777567386627197	0.24349591	Yes	
row_2	IFITM1	40	2.07757830619812	0.33707836	Yes	
row_3	ISG15	81	1.7975640296936035	0.4160675	Yes	
row_4	SP100	103	1.6909193992614746	0.491589	Yes	
row_5	OAS2	163	1.514277696609497	0.5562754	Yes	
row_6	IFITM2	379	1.234442949295044	0.5967762	Yes	
row_7	IFI27	480	1.1258652210235596	0.6407567	Yes	
row_8	TRAF3	1368	0.7150319814682007	0.60833746	No	
row_9	MAVS	2390	0.4700865149497986	0.55493486	No	
row_10	STAT2	2719	0.4165981113910675	0.5498824	No	
row_11	STAT1	3058	0.3656936287879944	0.54177725	No	
row_12	IKBKE	4744	0.16204586625099182	0.42567375	No	
row_13	IRAK1	5468	0.09541848301887512	0.37703583	No	
row_14	IFITM3	5576	0.08436118811368942	0.37303874	No	
row_15	TRIM56	5770	0.0694769099354744	0.36206064	No	
row_16	AZI2	5857	0.0631873831152916	0.3586376	No	
row_17	MYD88	6397	0.017175989225506783	0.31991872	No	
row_18	TBKBP1	6440	0.014083991758525372	0.31748253	No	
row_19	SHMT2	7599	-0.06804665923118591	0.23571737	No	
row_20	IFNAR2	7602	-0.06842035055160522	0.23868893	No	
row_21	TBK1	7841	-0.08779170364141464	0.22524759	No	
row_22	SHFL	8533	-0.14804084599018097	0.18135302	No	
row_23	IFNAR1	8576	-0.1526876986026764	0.18523341	No	
row_24	SETD2	9611	-0.2665274441242218	0.12160124	No	
row_25	TANK	10217	-0.34704914689064026	0.09307878	No	
row_26	TYK2	10882	-0.44579532742500305	0.06473255	No	
row_27	SMPD1	12812	-0.9850484728813171	-0.031746157	No	
row_28	JAK1	13596	-2.079577922821045	0.0056430777	No	
