NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NBN	18	2.5745625495910645	0.23284982	Yes	
row_1	RAD50	117	1.6327543258666992	0.37418023	Yes	
row_2	TERF2	301	1.3131616115570068	0.48021838	Yes	
row_3	TERF2IP	305	1.3109517097473145	0.59923553	Yes	
row_4	TFIP11	1114	0.8000816702842712	0.61284274	Yes	
row_5	DCLRE1C	1267	0.7464185953140259	0.66960293	Yes	
row_6	MRE11	1542	0.6617169976234436	0.7097261	Yes	
row_7	DCLRE1A	1783	0.6022189259529114	0.74692714	Yes	
row_8	POT1	2377	0.47259721159935	0.74649096	No	
row_9	DCLRE1B	4093	0.23477143049240112	0.6422679	No	
row_10	TERF1	5540	0.08776156604290009	0.5443704	No	
row_11	TINF2	5637	0.07897298038005829	0.54452395	No	
row_12	TEN1	6369	0.01934662275016308	0.49275798	No	
row_13	CTC1	6954	-0.017995139583945274	0.45163274	No	
row_14	ACD	7010	-0.02249002456665039	0.44965106	No	
row_15	STN1	7703	-0.07693110406398773	0.40597832	No	
row_16	PRKDC	10183	-0.34178605675697327	0.25554663	No	
