NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL10A	132	1.5730088949203491	0.011292641	No	
row_1	RPL39L	840	0.9134436249732971	-0.028539779	No	
row_2	RPL12	1605	0.6437645554542542	-0.07616856	No	
row_3	RPS8	1843	0.5904987454414368	-0.08572448	No	
row_4	RPL27	2236	0.5004439949989319	-0.107890174	No	
row_5	RPS25	2773	0.4084470570087433	-0.14188205	No	
row_6	RPL8	2804	0.4030335247516632	-0.13870747	No	
row_7	RPS11	2900	0.3868279457092285	-0.14053296	No	
row_8	RPL23	3323	0.3290828466415405	-0.16719496	No	
row_9	RPL5	4130	0.2303551286458969	-0.22343569	No	
row_10	RPL4	4202	0.22397051751613617	-0.22566982	No	
row_11	UBA52	4818	0.1540825515985489	-0.26887262	No	
row_12	RPS24	5792	0.06808315217494965	-0.33957067	No	
row_13	RPL38	6287	0.028428571298718452	-0.37554663	No	
row_14	RPS6	6372	0.019158894196152687	-0.38147268	No	
row_15	DNAJC3	7241	-0.04093531519174576	-0.4448059	No	
row_16	RPS16	8012	-0.10227445513010025	-0.5001077	No	
row_17	RPS10	8174	-0.1160307452082634	-0.51040685	No	
row_18	GRSF1	8688	-0.16507691144943237	-0.5459562	No	
row_19	RPL35A	8889	-0.1863023191690445	-0.558187	No	
row_20	RPL41	9062	-0.20348773896694183	-0.56812775	No	
row_21	RPS3	9069	-0.2040742039680481	-0.56584394	No	
row_22	RPL35	9784	-0.290912926197052	-0.61450523	No	
row_23	RPL27A	9878	-0.3038453161716461	-0.61729175	No	
row_24	RPL13	9968	-0.31434160470962524	-0.6196437	No	
row_25	RPL34	10212	-0.34599635004997253	-0.63290644	No	
row_26	RPL13A	10327	-0.36185699701309204	-0.6364637	No	
row_27	RPL22	10401	-0.3721303343772888	-0.6368664	No	
row_28	RPL24	10463	-0.3802189230918884	-0.6362779	No	
row_29	RPL22L1	10476	-0.38251498341560364	-0.6320527	No	
