NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ELECTRON TRANSPORT CHAIN: OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20220310%WP111%HOMO SAPIENS	ELECTRON TRANSPORT CHAIN: OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20220310%WP111%HOMO SAPIENS	Details ...	72	-0.69926816	-2.5534768	0.0	0.0	0.0	3116	tags=71%, list=23%, signal=91%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	Details ...	90	-0.67992944	-2.5485904	0.0	0.0	0.0	2339	tags=62%, list=17%, signal=75%	
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	Details ...	90	-0.66873324	-2.5483086	0.0	0.0	0.0	1946	tags=57%, list=14%, signal=66%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	Details ...	98	-0.6644202	-2.5447001	0.0	0.0	0.0	1946	tags=54%, list=14%, signal=63%	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220310%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220310%WP477%HOMO SAPIENS	Details ...	82	-0.6880315	-2.536115	0.0	0.0	0.0	2110	tags=60%, list=15%, signal=70%	
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	Details ...	76	-0.68848366	-2.5270767	0.0	0.0	0.0	1872	tags=50%, list=14%, signal=58%	
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	Details ...	86	-0.6728964	-2.5256226	0.0	0.0	0.0	2339	tags=60%, list=17%, signal=72%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	Details ...	86	-0.67359906	-2.508041	0.0	0.0	0.0	2339	tags=62%, list=17%, signal=74%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details ...	78	-0.6814293	-2.5025947	0.0	0.0	0.0	1730	tags=47%, list=13%, signal=54%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	101	-0.65307325	-2.4955015	0.0	0.0	0.0	1730	tags=47%, list=13%, signal=53%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	Details ...	90	-0.66483384	-2.4918783	0.0	0.0	0.0	2339	tags=58%, list=17%, signal=69%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.2	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.2	Details ...	98	-0.6499698	-2.4886155	0.0	0.0	0.0	1946	tags=50%, list=14%, signal=58%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 79%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 79%975956	Details ...	92	-0.6636091	-2.487909	0.0	0.0	0.0	2339	tags=58%, list=17%, signal=69%	
AEROBIC RESPIRATION%GOBP%GO:0009060	AEROBIC RESPIRATION%GOBP%GO:0009060	Details ...	127	-0.6276578	-2.487291	0.0	0.0	0.0	1730	tags=43%, list=13%, signal=48%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	Details ...	116	-0.63022697	-2.4861493	0.0	0.0	0.0	2339	tags=53%, list=17%, signal=64%	
PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	Details ...	70	-0.6820086	-2.4814684	0.0	0.0	0.0	1872	tags=53%, list=14%, signal=61%	
PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145	PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145	Details ...	78	-0.6675446	-2.476865	0.0	0.0	0.0	1872	tags=50%, list=14%, signal=58%	
PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206	PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206	Details ...	78	-0.6675446	-2.474924	0.0	0.0	0.0	1872	tags=50%, list=14%, signal=58%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	Details ...	78	-0.6814293	-2.469178	0.0	0.0	0.0	1730	tags=47%, list=13%, signal=54%	
ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754	ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754	Details ...	76	-0.669335	-2.4625425	0.0	0.0	0.0	3142	tags=66%, list=23%, signal=85%	
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 79%2408522	SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 79%2408522		110	-0.6318582	-2.4590774	0.0	0.0	0.0	2339	tags=55%, list=17%, signal=65%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3		108	-0.63595915	-2.458195	0.0	0.0	0.0	2339	tags=55%, list=17%, signal=65%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613	EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613		116	-0.63022697	-2.4478972	0.0	0.0	0.0	2339	tags=53%, list=17%, signal=64%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME DATABASE ID RELEASE 79%163200	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME DATABASE ID RELEASE 79%163200		123	-0.6161011	-2.4404876	0.0	0.0	0.0	3116	tags=59%, list=23%, signal=76%	
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904		88	-0.6530013	-2.426387	0.0	0.0	0.0	1730	tags=44%, list=13%, signal=50%	
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900		95	-0.6392441	-2.4248583	0.0	0.0	0.0	1730	tags=42%, list=13%, signal=48%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2		109	-0.62723225	-2.418445	0.0	0.0	0.0	2339	tags=53%, list=17%, signal=64%	
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776		63	-0.6691104	-2.407759	0.0	0.0	0.0	1631	tags=49%, list=12%, signal=56%	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181		119	-0.60857004	-2.3990464	0.0	0.0	0.0	1946	tags=44%, list=14%, signal=51%	
CELLULAR RESPIRATION%GOBP%GO:0045333	CELLULAR RESPIRATION%GOBP%GO:0045333		141	-0.60093164	-2.3955455	0.0	0.0	0.0	3142	tags=56%, list=23%, signal=72%	
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1		112	-0.61135566	-2.3861845	0.0	0.0	0.0	1946	tags=48%, list=14%, signal=56%	
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2		112	-0.61135566	-2.3748505	0.0	0.0	0.0	1946	tags=48%, list=14%, signal=56%	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.2	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.2		109	-0.59991986	-2.3518848	0.0	0.0	0.0	2339	tags=52%, list=17%, signal=63%	
