NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	81	0.643329	2.487765	0.0	0.0	0.0	1234	tags=41%, list=9%, signal=45%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.6	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.6	Details ...	54	0.699308	2.4656417	0.0	0.0	0.0	1524	tags=50%, list=11%, signal=56%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	147	0.54374087	2.3627932	0.0	0.0	0.0	1586	tags=32%, list=12%, signal=36%	
DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	Details ...	140	0.5448437	2.3176365	0.0	0.0	0.0	1524	tags=28%, list=11%, signal=31%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	140	0.5448437	2.312481	0.0	2.0735503E-4	0.001	1524	tags=28%, list=11%, signal=31%	
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	Details ...	48	0.63204324	2.2267206	0.0	6.817173E-4	0.004	2572	tags=52%, list=19%, signal=64%	
REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	Details ...	72	0.56223345	2.1410446	0.0	0.004691169	0.032	1234	tags=31%, list=9%, signal=33%	
NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	Details ...	69	0.5532215	2.1171768	0.0	0.0060328394	0.047	2755	tags=42%, list=20%, signal=52%	
RESPONSE TO INTERFERON-ALPHA%GOBP%GO:0035455	RESPONSE TO INTERFERON-ALPHA%GOBP%GO:0035455	Details ...	17	0.760779	2.1092079	0.0	0.0063902894	0.055	1234	tags=47%, list=9%, signal=52%	
DNA-TEMPLATED DNA REPLICATION MAINTENANCE OF FIDELITY%GOBP%GO:0045005	DNA-TEMPLATED DNA REPLICATION MAINTENANCE OF FIDELITY%GOBP%GO:0045005	Details ...	52	0.57086706	2.0992947	0.0	0.0072989655	0.07	2319	tags=46%, list=17%, signal=55%	
