NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NBN	18	2.5745625495910645	0.06342028	Yes	
row_1	SP100	103	1.6909193992614746	0.09976699	Yes	
row_2	ATR	107	1.683885931968689	0.14189182	Yes	
row_3	RAD50	117	1.6327543258666992	0.18228973	Yes	
row_4	TPRKB	213	1.4288723468780518	0.21123792	Yes	
row_5	TELO2	291	1.320373773574829	0.23878099	Yes	
row_6	TERF2	301	1.3131616115570068	0.27114195	Yes	
row_7	TERF2IP	305	1.3109517097473145	0.30388847	Yes	
row_8	SHLD2	384	1.2323106527328491	0.32914346	Yes	
row_9	SMARCAL1	507	1.1007355451583862	0.34785485	Yes	
row_10	RAD51	838	0.9138126969337463	0.34657374	Yes	
row_11	HSP90AB1	854	0.9063648581504822	0.36826372	Yes	
row_12	ZBTB48	906	0.8826560378074646	0.3867108	Yes	
row_13	DKC1	921	0.8783549070358276	0.4077699	Yes	
row_14	ERCC1	924	0.8759578466415405	0.42965093	Yes	
row_15	FEN1	1038	0.8293737173080444	0.44219995	Yes	
row_16	TFIP11	1114	0.8000816702842712	0.45680603	Yes	
row_17	LTO1	1222	0.7650983929634094	0.46817982	Yes	
row_18	DCLRE1C	1267	0.7464185953140259	0.4837155	Yes	
row_19	EXO1	1278	0.7434435486793518	0.501676	Yes	
row_20	MRE11	1542	0.6617169976234436	0.4989811	Yes	
row_21	RAD51D	1705	0.6217214465141296	0.50270575	Yes	
row_22	SMC5	1725	0.6169111728668213	0.51682264	Yes	
row_23	DCLRE1A	1783	0.6022189259529114	0.52777636	Yes	
row_24	PARP1	1893	0.5761680006980896	0.5342519	Yes	
row_25	POT1	2377	0.47259721159935	0.5106271	No	
row_26	MAD2L2	2660	0.4249382019042969	0.5005809	No	
row_27	PINX1	2789	0.4056709408760071	0.50137216	No	
row_28	SLX4	2957	0.3789910078048706	0.4986252	No	
row_29	RFC1	3873	0.25814658403396606	0.43784738	No	
row_30	SHLD1	3971	0.24566622078418732	0.43689394	No	
row_31	DCLRE1B	4093	0.23477143049240112	0.43390208	No	
row_32	RPA2	4210	0.22315672039985657	0.43098575	No	
row_33	WRAP53	4291	0.2130395919084549	0.43046167	No	
row_34	RPA3	4767	0.15845467150211334	0.39952505	No	
row_35	PARP3	4822	0.15356411039829254	0.3994168	No	
row_36	BLM	4881	0.14773954451084137	0.398868	No	
row_37	TEP1	5020	0.1367724984884262	0.3921619	No	
row_38	HSP90AA1	5130	0.1267535239458084	0.3873359	No	
row_39	NSMCE2	5349	0.10544776916503906	0.37396058	No	
row_40	TERF1	5540	0.08776156604290009	0.36219904	No	
row_41	TINF2	5637	0.07897298038005829	0.35712722	No	
row_42	ERCC4	5757	0.07078330963850021	0.3501585	No	
row_43	RPA1	6068	0.047338422387838364	0.32855818	No	
row_44	SLX1B	6297	0.027371801435947418	0.31248426	No	
row_45	TEN1	6369	0.01934662275016308	0.30775097	No	
row_46	XRCC5	6436	0.014390134252607822	0.30326062	No	
row_47	TNKS1BP1	6568	0.007751589175313711	0.2938246	No	
row_48	RECQL4	6570	0.007646489422768354	0.29394338	No	
row_49	CTC1	6954	-0.017995139583945274	0.2662383	No	
row_50	ACD	7010	-0.02249002456665039	0.26276034	No	
row_51	NHP2	7238	-0.040709394961595535	0.24709536	No	
row_52	SMC6	7573	-0.0662396103143692	0.2242059	No	
row_53	STN1	7703	-0.07693110406398773	0.21665663	No	
row_54	SHLD3	7896	-0.09224562346935272	0.20486079	No	
row_55	PCNA	8021	-0.10290154814720154	0.19833219	No	
row_56	DNA2	8116	-0.11129457503557205	0.19422022	No	
row_57	GAR1	8516	-0.14645560085773468	0.16856928	No	
row_58	HUS1	9460	-0.24697697162628174	0.105452076	No	
row_59	XRCC6	9473	-0.2480952888727188	0.11080881	No	
row_60	XRCC3	9518	-0.2540002763271332	0.11396144	No	
row_61	APEX1	9594	-0.264262855052948	0.11509308	No	
row_62	PRKDC	10183	-0.34178605675697327	0.080459185	No	
row_63	UPF1	10796	-0.43284890055656433	0.04635084	No	
row_64	PTGES3	11395	-0.5499746799468994	0.016217165	No	
row_65	ZNF827	11476	-0.5637957453727722	0.024513688	No	
row_66	WRN	11597	-0.5893503427505493	0.0305121	No	
row_67	RTEL1	12017	-0.6917105913162231	0.017102549	No	
row_68	RIF1	12022	-0.6927608251571655	0.034229625	No	
row_69	ZNF365	12545	-0.8679299354553223	0.01767912	No	
row_70	ATM	13032	-1.1222631931304932	0.010171112	No	
row_71	NOP10	13374	-1.4665826559066772	0.021982046	No	
