NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL10A	132	1.5730088949203491	0.011126154	No	
row_1	RPL39L	840	0.9134436249732971	-0.028802944	No	
row_2	RPL12	1605	0.6437645554542542	-0.076499864	No	
row_3	RPS8	1843	0.5904987454414368	-0.08611827	No	
row_4	RPL27	2236	0.5004439949989319	-0.10833694	No	
row_5	RPS25	2773	0.4084470570087433	-0.14237204	No	
row_6	RPL8	2804	0.4030335247516632	-0.13924013	No	
row_7	RPS11	2900	0.3868279457092285	-0.14110656	No	
row_8	RPL23	3323	0.3290828466415405	-0.16780339	No	
row_9	RPL5	4130	0.2303551286458969	-0.22406848	No	
row_10	RPL4	4202	0.22397051751613617	-0.22632633	No	
row_11	UBA52	4818	0.1540825515985489	-0.26954544	No	
row_12	RPS24	5792	0.06808315217494965	-0.3402507	No	
row_13	RPL38	6287	0.028428571298718452	-0.37622967	No	
row_14	RPS6	6372	0.019158894196152687	-0.38215774	No	
row_15	RPS16	8012	-0.10227445513010025	-0.50142384	No	
row_16	RPS10	8174	-0.1160307452082634	-0.51173526	No	
row_17	RPL35A	8889	-0.1863023191690445	-0.56181335	No	
row_18	RPL41	9062	-0.20348773896694183	-0.5717756	No	
row_19	RPS3	9069	-0.2040742039680481	-0.5695134	No	
row_20	EEF2	9514	-0.2535618841648102	-0.59882987	No	
row_21	RPL35	9784	-0.290912926197052	-0.6147725	No	
row_22	RPL27A	9878	-0.3038453161716461	-0.61759114	No	
row_23	RPL13	9968	-0.31434160470962524	-0.61997634	No	
row_24	RPL34	10212	-0.34599635004997253	-0.63327575	No	
row_25	RPL13A	10327	-0.36185699701309204	-0.6368713	No	
row_26	RPL22	10401	-0.3721303343772888	-0.63731337	No	
row_27	RPL24	10463	-0.3802189230918884	-0.6367651	No	
row_28	RPL22L1	10476	-0.38251498341560364	-0.6325804	No	
row_29	RPS27	10586	-0.40079015493392944	-0.6352922	No	
row_30	RPL26L1	10671	-0.41555848717689514	-0.6359684	No	
row_31	RPS2	10678	-0.4165341556072235	-0.6308913	No	
row_32	RPL7A	10712	-0.4204258918762207	-0.6277498	No	
row_33	RPS7	11336	-0.5374475121498108	-0.66647846	Yes	
row_34	RPS21	11338	-0.5378749966621399	-0.65942585	Yes	
row_35	EEF1A1	11400	-0.5506308674812317	-0.65661985	Yes	
row_36	RPL36AL	11460	-0.5597624778747559	-0.6535457	Yes	
row_37	RPS23	11565	-0.5834056735038757	-0.65347004	Yes	
row_38	RPS20	11729	-0.6179785132408142	-0.65727836	Yes	
row_39	RPL10	11766	-0.6280835866928101	-0.6516064	Yes	
row_40	RPL6	11782	-0.6300248503684998	-0.64436316	Yes	
row_41	RPS12	11844	-0.6432996392250061	-0.6403294	Yes	
row_42	RPSA	11845	-0.6432996988296509	-0.63180643	Yes	
row_43	RPL18A	11931	-0.6672465801239014	-0.6292217	Yes	
row_44	RPL32	12127	-0.7255398631095886	-0.63395995	Yes	
row_45	RPLP2	12305	-0.7783733010292053	-0.63667357	Yes	
row_46	RPL3	12333	-0.7919432520866394	-0.6281683	Yes	
row_47	RPL30	12378	-0.8098337054252625	-0.62067705	Yes	
row_48	RPL23A	12382	-0.8110140562057495	-0.6101528	Yes	
row_49	RPS28	12386	-0.8128687143325806	-0.59960395	Yes	
row_50	RPL28	12612	-0.8952311277389526	-0.60430187	Yes	
row_51	RPL17	12705	-0.9333198070526123	-0.59870714	Yes	
row_52	RPL37A	12784	-0.9719826579093933	-0.5915698	Yes	
row_53	RPS14	12858	-1.0081791877746582	-0.58358496	Yes	
row_54	RPL15	12868	-1.0150070190429688	-0.5707996	Yes	
row_55	RPL36A	12878	-1.0224177837371826	-0.55791605	Yes	
row_56	RPS4Y1	12918	-1.0426675081253052	-0.54697204	Yes	
row_57	RPS17	12960	-1.0693308115005493	-0.535822	Yes	
row_58	RPL29	13022	-1.1155116558074951	-0.52553195	Yes	
row_59	RPLP0	13050	-1.1358399391174316	-0.5124704	Yes	
row_60	RPS18	13126	-1.1878582239151	-0.50225216	Yes	
row_61	RPS5	13139	-1.195056438446045	-0.48730215	Yes	
row_62	RPS26	13191	-1.24735689163208	-0.4745294	Yes	
row_63	RPS3A	13198	-1.2553023099899292	-0.4583396	Yes	
row_64	RPL14	13223	-1.2730261087417603	-0.4432397	Yes	
row_65	RPS15A	13224	-1.27521812915802	-0.42634448	Yes	
row_66	RPS29	13255	-1.3176645040512085	-0.41109473	Yes	
row_67	RPS13	13283	-1.350272297859192	-0.39519218	Yes	
row_68	RPL7	13306	-1.381505012512207	-0.37850785	Yes	
row_69	RPS15	13324	-1.4007689952850342	-0.36120033	Yes	
row_70	RPL36	13380	-1.4785605669021606	-0.34565875	Yes	
row_71	RPS27A	13414	-1.524519443511963	-0.3278892	Yes	
row_72	RPS4X	13426	-1.5409870147705078	-0.30828238	Yes	
row_73	RPL39	13459	-1.611419677734375	-0.2892879	Yes	
row_74	RPL37	13460	-1.6149767637252808	-0.26789126	Yes	
row_75	RPL19	13462	-1.6178185939788818	-0.24653056	Yes	
row_76	RPS19	13469	-1.628760576248169	-0.22539288	Yes	
row_77	FAU	13491	-1.6649757623672485	-0.2048793	Yes	
row_78	RPS27L	13504	-1.720449447631836	-0.1829684	Yes	
row_79	RPL26	13514	-1.7385029792785645	-0.16059752	Yes	
row_80	RPS9	13518	-1.7493090629577637	-0.13764192	Yes	
row_81	RPLP1	13557	-1.8868073225021362	-0.11544042	Yes	
row_82	RPL21	13586	-2.0165579319000244	-0.090783924	Yes	
row_83	RPL18	13613	-2.170661449432373	-0.06393854	Yes	
row_84	RPL31	13641	-2.445829153060913	-0.033521093	Yes	
row_85	RPL11	13658	-2.7023019790649414	0.0011038719	Yes	
