NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFIT5	3	3.2034339904785156	0.031728044	Yes	
row_1	GBP1	4	3.1098268032073975	0.06274456	Yes	
row_2	MX1	6	2.902200222015381	0.091616236	Yes	
row_3	EIF2AK2	15	2.6268818378448486	0.11722379	Yes	
row_4	IFIT3	22	2.4951834678649902	0.14166588	Yes	
row_5	IFIT1	24	2.4777567386627197	0.16630428	Yes	
row_6	RSAD2	35	2.173553705215454	0.18724243	Yes	
row_7	XAF1	39	2.080681085586548	0.20777246	Yes	
row_8	IFITM1	40	2.07757830619812	0.22849363	Yes	
row_9	MX2	45	2.011532783508301	0.24825998	Yes	
row_10	IFIT2	52	1.9159952402114868	0.2669254	Yes	
row_11	ISG15	81	1.7975640296936035	0.2827811	Yes	
row_12	DDX58	85	1.772188425064087	0.30023432	Yes	
row_13	SP100	103	1.6909193992614746	0.31584063	Yes	
row_14	OAS2	163	1.514277696609497	0.32657614	Yes	
row_15	IFI6	260	1.359354853630066	0.33302757	Yes	
row_16	KPNA1	290	1.3207992315292358	0.34405413	Yes	
row_17	PDE12	330	1.2884306907653809	0.3540176	Yes	
row_18	IFITM2	379	1.234442949295044	0.3627764	Yes	
row_19	POM121C	391	1.2247400283813477	0.3741773	Yes	
row_20	USP18	463	1.1357418298721313	0.3802491	Yes	
row_21	SAMHD1	472	1.128713607788086	0.39091438	Yes	
row_22	IFI27	480	1.1258652210235596	0.40162528	Yes	
row_23	IRF7	574	1.050553321838379	0.40521887	Yes	
row_24	ISG20	613	1.0258421897888184	0.41263738	Yes	
row_25	HLA-B	722	0.9718466401100159	0.41433564	Yes	
row_26	RNASEL	816	0.9205294847488403	0.41663244	Yes	
row_27	NUP50	884	0.8954784870147705	0.42060402	Yes	
row_28	NUP54	903	0.8857731223106384	0.428106	Yes	
row_29	HLA-DRA	923	0.8765508532524109	0.435442	Yes	
row_30	KPNB1	953	0.8652337789535522	0.44192487	Yes	
row_31	TRIM38	1026	0.833204448223114	0.44490525	Yes	
row_32	HERC5	1043	0.8277865052223206	0.45197695	Yes	
row_33	NUP155	1125	0.7975773811340332	0.45393574	Yes	
row_34	NUP35	1145	0.7895911931991577	0.46040443	Yes	
row_35	IRF9	1179	0.7808153033256531	0.46574923	Yes	
row_36	BST2	1234	0.757101833820343	0.469303	Yes	
